"# qwen3_30b (qwen3, E=128, 48 layers): downstream cost of imposing rolling residency with NO adaptation. Ten 0-shot tasks, same harness and metric convention as olmoe_adapt_downstream.csv. 'free' is the published model; R8/R32 switch the constraint on at eval time only. BPB on the audited slice is recomputed per arm from the same configuration. Each task subsampled to 0 documents (0 = full); the stderr columns give the resulting precision. Producer: analysis/ple/qwen_downstream.py"
task,metric,free,R8,free_stderr,R8_stderr,delta_R8_vs_free
arc_easy,acc,0.7980,0.7088,0.0082,0.0093,-0.0892
arc_easy,acc_norm,0.7967,0.6940,0.0083,0.0095,-0.1027
arc_challenge,acc,0.5444,0.4411,0.0146,0.0145,-0.1032
arc_challenge,acc_norm,0.5734,0.4710,0.0145,0.0146,-0.1024
hellaswag,acc,0.6220,0.5524,0.0048,0.0050,-0.0696
hellaswag,acc_norm,0.8131,0.7508,0.0039,0.0043,-0.0622
piqa,acc,0.8145,0.7388,0.0091,0.0102,-0.0756
piqa,acc_norm,0.8079,0.7486,0.0092,0.0101,-0.0593
winogrande,acc,0.7238,0.6140,0.0126,0.0137,-0.1097
openbookqa,acc,0.3400,0.2680,0.0212,0.0198,-0.0720
openbookqa,acc_norm,0.4460,0.3700,0.0223,0.0216,-0.0760
sciq,acc,0.9630,0.9210,0.0060,0.0085,-0.0420
sciq,acc_norm,0.9590,0.9130,0.0063,0.0089,-0.0460
boolq,acc,0.8141,0.6590,0.0068,0.0083,-0.1550
lambada_openai,acc,0.7475,0.5979,0.0061,0.0068,-0.1496
copa,acc,0.9000,0.8100,0.0302,0.0394,-0.0900

bpb_audited_slice,,0.582025,0.686861
