# Reuse-fraction program (not for the paper): keep a fraction of the previous token's k=6 active experts (TEMPORAL_SWAPS = k x (1 - reuse)); grain 1 at every scale; test CE under the model's own policy; 1e17 on the recorded cells' 16k tokenizer, 1e18/1e19 on pythia-50k like the paper's cells; recorded references are July runs. Producer: hand-assembled from train.log final test evals, 2026-09-06.
scale,reuse,swaps_per_token,run,test_CE,reference_free_moe,reference_temporal,note
1e17,0,6,g1_moe_s2_1e17 (recorded),3.4930,,,free MoE
1e17,1/6,5,cur_g1_1e17_WK5_16k,3.4881,3.4930,3.5486,lowest; picked
1e17,2/6,4,cur_g1_1e17_WK4_16k,3.5055,3.4930,3.5486,out of line with neighbours
1e17,3/6,3,cur_g1_1e17_WK3_16k,3.4951,3.4930,3.5486,
1e17,4/6,2,cur_g1_1e17_WK2_16k,3.5261,3.4930,3.5486,
1e17,5/6,1,g1_tmoe_s2_1e17 (recorded),3.5486,,,temporal
1e18,1/6,5,cur_flame38m_g1_WK5,3.8720,3.9235 (triplet mean),3.9077 (triplet mean),no spike; 3.5 s/it
1e18,2/6,4,cur_flame38m_g1_WK4,3.8764,3.9235 (triplet mean),3.9077 (triplet mean),
1e19,1/6,5,cur_g1_1e19_WK5,3.1576,3.1301,3.1798,router blow-up at iteration 1170 (loss 3.61 to 8.19; recovered by 1400); 16.2 s/it after the expert-GEMM fix
1e18,1/6 + coherence 0.01,5,cur_flame38m_g1_WK5C0p01,3.9194,3.9235 (triplet mean),3.9077 (triplet mean),coherence loss on the applied resident set costs 0.047 vs plain 1/6; no spike in either
