run,budget,regime,grain,resident_cache_K_over_k,hit_rate,mean_lifetime_tokens
flame38m_g1_temporal,1e18,temporal,coarse 6/64,1.000,0.30669,5.989
flame38m_g1_temporal,1e18,temporal,coarse 6/64,1.500,0.37889,9.026
flame38m_g1_temporal,1e18,temporal,coarse 6/64,2.000,0.43769,12.153
flame38m_g1_temporal,1e18,temporal,coarse 6/64,2.500,0.48985,15.411
flame38m_g1_temporal,1e18,temporal,coarse 6/64,3.000,0.53741,18.836
flame38m_g1_temporal,1e18,temporal,coarse 6/64,3.500,0.58057,22.480
flame38m_g1_temporal,1e18,temporal,coarse 6/64,4.000,0.62189,26.454
flame38m_g1_temporal,1e18,temporal,coarse 6/64,4.500,0.66122,30.902
flame38m_g1_temporal,1e18,temporal,coarse 6/64,5.000,0.69827,35.961
flame38m_g1_temporal,1e18,temporal,coarse 6/64,5.500,0.73318,41.761
flame38m_g1_temporal,1e18,temporal,coarse 6/64,6.000,0.76685,48.848
flame38m_g1_temporal,1e18,temporal,coarse 6/64,6.500,0.79832,57.487
flame38m_g1_temporal,1e18,temporal,coarse 6/64,7.000,0.82908,68.643
flame38m_g1_temporal,1e18,temporal,coarse 6/64,7.500,0.85778,83.486
flame38m_g1_temporal,1e18,temporal,coarse 6/64,8.000,0.88474,103.989
flame38m_g1_temporal,1e18,temporal,coarse 6/64,8.500,0.91022,134.342
flame38m_g1_temporal,1e18,temporal,coarse 6/64,9.000,0.93456,183.056
flame38m_g1_temporal,1e18,temporal,coarse 6/64,9.500,0.95716,271.051
flame38m_g1_temporal,1e18,temporal,coarse 6/64,10.000,0.97762,466.531
flame38m_g1_temporal,1e18,temporal,coarse 6/64,10.500,0.99512,1148.807
flame38m_g3_temporal,1e18,temporal,fine 18/192,1.000,0.26214,17.852
flame38m_g3_temporal,1e18,temporal,fine 18/192,1.556,0.33865,27.637
flame38m_g3_temporal,1e18,temporal,fine 18/192,2.111,0.40349,37.333
flame38m_g3_temporal,1e18,temporal,fine 18/192,2.667,0.46150,46.959
flame38m_g3_temporal,1e18,temporal,fine 18/192,3.222,0.51512,56.542
flame38m_g3_temporal,1e18,temporal,fine 18/192,3.778,0.56451,66.105
flame38m_g3_temporal,1e18,temporal,fine 18/192,4.333,0.61115,75.727
flame38m_g3_temporal,1e18,temporal,fine 18/192,4.889,0.65537,85.506
flame38m_g3_temporal,1e18,temporal,fine 18/192,5.444,0.69849,95.656
flame38m_g3_temporal,1e18,temporal,fine 18/192,6.000,0.73925,106.414
flame38m_g3_temporal,1e18,temporal,fine 18/192,6.556,0.77785,118.425
flame38m_g3_temporal,1e18,temporal,fine 18/192,7.111,0.81552,132.644
flame38m_g3_temporal,1e18,temporal,fine 18/192,7.667,0.85126,150.456
flame38m_g3_temporal,1e18,temporal,fine 18/192,8.222,0.88535,175.783
flame38m_g3_temporal,1e18,temporal,fine 18/192,8.778,0.91741,215.133
flame38m_g3_temporal,1e18,temporal,fine 18/192,9.333,0.94656,286.726
flame38m_g3_temporal,1e18,temporal,fine 18/192,9.889,0.97235,445.851
flame38m_g3_temporal,1e18,temporal,fine 18/192,10.444,0.99334,1007.048
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1.000,0.28361,5.988
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1.500,0.34680,9.006
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,2.000,0.40133,12.081
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,2.500,0.45075,15.242
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,3.000,0.49708,18.535
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,3.500,0.54097,22.018
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,4.000,0.58249,25.744
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,4.500,0.62212,29.851
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,5.000,0.66015,34.460
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,5.500,0.69739,39.753
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,6.000,0.73284,46.077
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,6.500,0.76683,53.833
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,7.000,0.79981,63.689
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,7.500,0.83184,76.764
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,8.000,0.86238,94.880
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,8.500,0.89188,122.181
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,9.000,0.91997,166.643
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,9.500,0.94660,248.092
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,10.000,0.97109,420.837
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,10.500,0.99335,1030.129
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,1.000,0.56664,17.863
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,1.556,0.75559,29.135
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,2.111,0.89011,55.557
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,2.667,0.96671,1385.007
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,3.222,0.99768,1495.668
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,3.778,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,4.333,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,4.889,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,5.444,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,6.000,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,6.556,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,7.111,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,7.667,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,8.222,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,8.778,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,9.333,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,9.889,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,10.444,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,1.000,0.58556,17.870
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,1.556,0.76788,29.097
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,2.111,0.89329,51.538
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,2.667,0.97532,1387.758
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,3.222,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,3.778,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,4.333,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,4.889,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,5.444,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,6.000,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,6.556,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,7.111,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,7.667,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,8.222,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,8.778,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,9.333,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,9.889,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,10.444,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,1.000,0.81036,18.077
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,1.556,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,2.111,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,2.667,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,3.222,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,3.778,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,4.333,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,4.889,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,5.444,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,6.000,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,6.556,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,7.111,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,7.667,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,8.222,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,8.778,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,9.333,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,9.889,1.00000,2048.000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,10.444,1.00000,2048.000
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,1.000,0.79507,17.954
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,1.556,0.94906,54.573
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,2.111,0.99009,761.425
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,2.667,0.99794,1467.236
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,3.222,0.99916,1629.538
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,3.778,0.99962,1786.834
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,4.333,0.99981,1906.739
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,4.889,0.99992,1985.971
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,5.444,0.99996,2017.310
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,6.000,0.99998,2036.454
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,6.556,0.99999,2045.144
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,7.111,1.00000,2046.026
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,7.667,1.00000,2046.167
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,8.222,1.00000,2046.290
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,8.778,1.00000,2046.397
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,9.333,1.00000,2046.996
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,9.889,1.00000,2047.052
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,10.444,1.00000,2047.549
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,1.000,0.38700,17.853
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,1.556,0.50547,27.717
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,2.111,0.60211,37.669
