"# per-layer W1 (unit ground metric = total variation) between free and residency-constrained router distributions, base IT checkpoints, teacher-forced WildChat (chat template, constraint from position 0, R=k). w1_imposed: mask on free logits (no compounding); w1_endtoend: constrained forward (with drift). lfm distributions are normalised sigmoid scores. Producer: analysis/residency/router_wasserstein.py"
model,family,R,layer,w1_imposed,w1_endtoend,n_tokens
qwen35-35b-a3b-instruct,qwen35,8,0,0.90993,0.90993,17881
qwen35-35b-a3b-instruct,qwen35,8,1,0.89531,0.89687,17881
qwen35-35b-a3b-instruct,qwen35,8,2,0.86440,0.86719,17881
qwen35-35b-a3b-instruct,qwen35,8,3,0.88962,0.89166,17881
qwen35-35b-a3b-instruct,qwen35,8,4,0.87704,0.87996,17881
qwen35-35b-a3b-instruct,qwen35,8,5,0.85579,0.85900,17881
qwen35-35b-a3b-instruct,qwen35,8,6,0.84851,0.85149,17881
qwen35-35b-a3b-instruct,qwen35,8,7,0.85127,0.85505,17881
qwen35-35b-a3b-instruct,qwen35,8,8,0.86678,0.86975,17881
qwen35-35b-a3b-instruct,qwen35,8,9,0.85787,0.86034,17881
qwen35-35b-a3b-instruct,qwen35,8,10,0.84251,0.84496,17881
qwen35-35b-a3b-instruct,qwen35,8,11,0.84468,0.84837,17881
qwen35-35b-a3b-instruct,qwen35,8,12,0.85012,0.85342,17881
qwen35-35b-a3b-instruct,qwen35,8,13,0.84525,0.84833,17881
qwen35-35b-a3b-instruct,qwen35,8,14,0.85079,0.85453,17881
qwen35-35b-a3b-instruct,qwen35,8,15,0.86291,0.86604,17881
qwen35-35b-a3b-instruct,qwen35,8,16,0.85848,0.86194,17881
qwen35-35b-a3b-instruct,qwen35,8,17,0.85850,0.86212,17881
qwen35-35b-a3b-instruct,qwen35,8,18,0.86992,0.87386,17881
qwen35-35b-a3b-instruct,qwen35,8,19,0.86919,0.87188,17881
qwen35-35b-a3b-instruct,qwen35,8,20,0.87450,0.87830,17881
qwen35-35b-a3b-instruct,qwen35,8,21,0.85661,0.85991,17881
qwen35-35b-a3b-instruct,qwen35,8,22,0.86415,0.86781,17881
qwen35-35b-a3b-instruct,qwen35,8,23,0.87335,0.87727,17881
qwen35-35b-a3b-instruct,qwen35,8,24,0.86872,0.87277,17881
qwen35-35b-a3b-instruct,qwen35,8,25,0.86788,0.87115,17881
qwen35-35b-a3b-instruct,qwen35,8,26,0.87522,0.87875,17881
qwen35-35b-a3b-instruct,qwen35,8,27,0.88082,0.88364,17881
qwen35-35b-a3b-instruct,qwen35,8,28,0.87149,0.87496,17881
qwen35-35b-a3b-instruct,qwen35,8,29,0.88875,0.89129,17881
qwen35-35b-a3b-instruct,qwen35,8,30,0.89201,0.89451,17881
qwen35-35b-a3b-instruct,qwen35,8,31,0.90125,0.90376,17881
qwen35-35b-a3b-instruct,qwen35,8,32,0.90268,0.90389,17881
qwen35-35b-a3b-instruct,qwen35,8,33,0.88917,0.89133,17881
qwen35-35b-a3b-instruct,qwen35,8,34,0.90451,0.90588,17881
qwen35-35b-a3b-instruct,qwen35,8,35,0.91084,0.91317,17881
qwen35-35b-a3b-instruct,qwen35,8,36,0.91152,0.91379,17881
qwen35-35b-a3b-instruct,qwen35,8,37,0.91461,0.91635,17881
qwen35-35b-a3b-instruct,qwen35,8,38,0.91033,0.91192,17881
qwen35-35b-a3b-instruct,qwen35,8,39,0.92393,0.92557,17881
lfm25-8b-a1b,lfm,4,0,0.69296,0.69296,17778
lfm25-8b-a1b,lfm,4,1,0.68378,0.68675,17778
lfm25-8b-a1b,lfm,4,2,0.65100,0.65494,17778
lfm25-8b-a1b,lfm,4,3,0.64647,0.65198,17778
lfm25-8b-a1b,lfm,4,4,0.65009,0.65341,17778
lfm25-8b-a1b,lfm,4,5,0.65830,0.66209,17778
lfm25-8b-a1b,lfm,4,6,0.66658,0.67118,17778
lfm25-8b-a1b,lfm,4,7,0.68148,0.68538,17778
lfm25-8b-a1b,lfm,4,8,0.65110,0.65552,17778
lfm25-8b-a1b,lfm,4,9,0.66435,0.66965,17778
lfm25-8b-a1b,lfm,4,10,0.66998,0.67437,17778
lfm25-8b-a1b,lfm,4,11,0.64983,0.65389,17778
lfm25-8b-a1b,lfm,4,12,0.60881,0.61349,17778
lfm25-8b-a1b,lfm,4,13,0.65071,0.65547,17778
lfm25-8b-a1b,lfm,4,14,0.66228,0.66719,17778
lfm25-8b-a1b,lfm,4,15,0.65528,0.66001,17778
lfm25-8b-a1b,lfm,4,16,0.66209,0.67027,17778
lfm25-8b-a1b,lfm,4,17,0.66796,0.67733,17778
lfm25-8b-a1b,lfm,4,18,0.68576,0.69314,17778
lfm25-8b-a1b,lfm,4,19,0.66407,0.67262,17778
lfm25-8b-a1b,lfm,4,20,0.66443,0.67281,17778
lfm25-8b-a1b,lfm,4,21,0.68845,0.69568,17778
gemma4-26b-it,gemma4,8,0,0.73492,0.73492,18387
gemma4-26b-it,gemma4,8,1,0.77385,0.77562,18387
gemma4-26b-it,gemma4,8,2,0.77358,0.77638,18387
gemma4-26b-it,gemma4,8,3,0.77999,0.78147,18387
gemma4-26b-it,gemma4,8,4,0.67124,0.67051,18387
gemma4-26b-it,gemma4,8,5,0.79505,0.79815,18387
gemma4-26b-it,gemma4,8,6,0.80219,0.80519,18387
gemma4-26b-it,gemma4,8,7,0.81764,0.82016,18387
gemma4-26b-it,gemma4,8,8,0.81806,0.82160,18387
gemma4-26b-it,gemma4,8,9,0.80279,0.80661,18387
gemma4-26b-it,gemma4,8,10,0.79124,0.79490,18387
gemma4-26b-it,gemma4,8,11,0.80839,0.81212,18387
gemma4-26b-it,gemma4,8,12,0.81128,0.81470,18387
gemma4-26b-it,gemma4,8,13,0.79728,0.80070,18387
gemma4-26b-it,gemma4,8,14,0.78262,0.78623,18387
gemma4-26b-it,gemma4,8,15,0.79672,0.80059,18387
gemma4-26b-it,gemma4,8,16,0.78732,0.79132,18387
gemma4-26b-it,gemma4,8,17,0.78549,0.78908,18387
