run,layer,expert,out_l2_mean,sel_count,interm_max,interm_kurt,rlogit_mean,rlogit_std,rlogit_mean_res,rlogit_mean_nonres,gate_mean,gate_std
g1_moe,1,0,0.729454,8073,4.1875,0.985731,-4.58002,1.02426,,,0.15559,0.117501
g1_moe,1,1,0.786495,7482,4.34375,1.26869,-4.42148,0.955285,,,0.173282,0.0871447
g1_moe,1,2,0.782133,6759,4.0625,2.84342,-4.55152,0.926843,,,0.166059,0.0980335
g1_moe,1,3,0.568633,6029,3.85938,2.88524,-4.79239,1.04155,,,0.229198,0.109934
g1_moe,1,4,0.618343,5857,4.0625,1.68576,-4.63081,0.948871,,,0.207078,0.133382
g1_moe,1,5,0.842839,7478,4.84375,0.866189,-4.76408,1.17649,,,0.141388,0.0857845
g1_moe,1,6,0.769508,5526,4.53125,1.69608,-4.51485,0.862686,,,0.126014,0.105513
g1_moe,1,7,0.786111,5478,5.5,1.14301,-4.82601,1.04668,,,0.150424,0.107903
g1_moe,1,8,0.839819,6152,4.5625,1.02485,-4.98101,1.19688,,,0.197926,0.135897
g1_moe,1,9,0.636652,5943,4.09375,1.39552,-5.04209,1.10985,,,0.146407,0.0774451
g1_moe,1,10,0.748656,5222,5.0625,1.31093,-4.61806,1.06165,,,0.245737,0.20413
g1_moe,1,11,0.715802,5575,4,1.98764,-4.68082,0.944528,,,0.145131,0.0731297
g1_moe,1,12,0.732839,5830,5.0625,1.52427,-4.8539,1.04287,,,0.157415,0.0862773
g1_moe,1,13,0.871919,6303,5.03125,1.38604,-4.66016,1.03224,,,0.171065,0.113691
g1_moe,1,14,0.878814,7120,4.09375,0.825289,-4.36863,0.825239,,,0.131677,0.0762127
g1_moe,1,15,0.641523,5478,3.60938,1.01521,-4.45738,0.838069,,,0.147437,0.107064
g1_moe,1,16,0.936059,6136,4.28125,1.08981,-5.03106,1.17839,,,0.169512,0.104762
g1_moe,1,17,1.07273,5536,4.6875,1.02021,-4.76021,1.02948,,,0.191198,0.115961
g1_moe,1,18,0.702207,6071,4.15625,1.63357,-4.80985,1.02241,,,0.143459,0.0891744
g1_moe,1,19,0.834764,6760,4.21875,0.868441,-5.61652,1.69197,,,0.224126,0.150946
g1_moe,1,20,0.821685,5598,4.03125,0.858968,-5.28222,1.34389,,,0.170842,0.108205
g1_moe,1,21,0.855735,6886,4.53125,0.977234,-4.37906,0.899403,,,0.170151,0.130154
g1_moe,1,22,0.561288,6194,4.15625,3.32956,-5.19832,1.14248,,,0.18076,0.0989417
g1_moe,1,23,0.914456,6168,4.53125,1.05123,-4.95733,1.13356,,,0.173535,0.10015
g1_moe,1,24,0.882525,6156,4.15625,1.02831,-5.31109,1.3742,,,0.17893,0.108511
g1_moe,1,25,0.597747,6381,5.96875,2.22135,-4.67507,0.901941,,,0.158303,0.0796011
g1_moe,1,26,0.869664,5703,4.40625,1.51556,-4.52217,0.812415,,,0.174086,0.0997789
g1_moe,1,27,0.950458,5769,4.6875,0.998694,-4.9965,1.15471,,,0.182441,0.111187
g1_moe,1,28,0.815377,6066,3.8125,1.18148,-4.51242,0.907995,,,0.139273,0.0776297
g1_moe,1,29,0.982898,6336,4.15625,0.997386,-5.38106,1.44201,,,0.182639,0.112396
g1_moe,1,30,0.596918,5980,4.53125,2.59405,-4.80812,0.975219,,,0.137752,0.0846452
g1_moe,1,31,0.534916,6703,3.84375,2.59517,-4.25905,0.821464,,,0.186668,0.134148
g1_moe,1,32,0.748261,5619,3.89062,1.08839,-4.89816,1.05307,,,0.131329,0.0795915
g1_moe,1,33,0.784884,5630,4.28125,1.15468,-4.81866,1.04259,,,0.173814,0.120719
g1_moe,1,34,0.62418,5734,3.79688,1.12094,-4.50547,0.907934,,,0.152241,0.121307
g1_moe,1,35,0.646074,5889,3.98438,2.11355,-4.81572,1.10228,,,0.212862,0.145667
g1_moe,1,36,0.554632,6419,4.5625,3.51353,-5.20984,1.17168,,,0.197047,0.0999335
g1_moe,1,37,0.764896,6248,3.75,0.759137,-4.65698,1.00442,,,0.154948,0.0989543
g1_moe,1,38,0.696709,5764,4.28125,1.04603,-4.6655,0.939046,,,0.144902,0.0810795
g1_moe,1,39,0.525303,5215,3.5,1.26366,-4.53349,0.882742,,,0.214478,0.223242
