run,bits,test_ce,test_bpb
g1_moe,16,3.918474,1.315807
g1_moe,8,3.918539,1.315829
g1_moe,4,3.936437,1.321839
g1_moe,3,4.026195,1.351980
g1_temporal,16,3.909472,1.312784
g1_temporal,8,3.909512,1.312798
g1_temporal,4,3.923908,1.317632
g1_temporal,3,3.996078,1.341866
g3_moe,16,4.009125,1.346247
g3_moe,8,4.009167,1.346262
g3_moe,4,4.021676,1.350462
g3_moe,3,4.081373,1.370508
g3_temporal,16,3.976890,1.335423
g3_temporal,8,3.976963,1.335448
g3_temporal,4,3.987511,1.338990
g3_temporal,3,4.038702,1.356179
moe_coarse_1e19,16,3.129897,1.051006
moe_coarse_1e19,8,3.129929,1.051017
moe_coarse_1e19,4,3.137491,1.053556
moe_coarse_1e19,3,3.175067,1.066174
temporal_coarse_1e19,16,3.178994,1.067493
temporal_coarse_1e19,8,3.179076,1.067520
temporal_coarse_1e19,4,3.185608,1.069714
temporal_coarse_1e19,3,3.217265,1.080344
temporal_fine_1e19,16,3.171383,1.064937
temporal_fine_1e19,8,3.171479,1.064969
temporal_fine_1e19,4,3.177317,1.066930
temporal_fine_1e19,3,3.205341,1.076340
moe_fine_1e19,16,3.163452,1.062274
moe_fine_1e19,8,3.163466,1.062279
moe_fine_1e19,4,3.170604,1.064676
moe_fine_1e19,3,3.205514,1.076398
