run,layer,expert,resident_frac,selected_frac
g1_temporal,1,0,0.091171,0.122604
g1_temporal,1,1,0.094528,0.080139
g1_temporal,1,2,0.083130,0.043854
g1_temporal,1,3,0.081772,0.091476
g1_temporal,1,4,0.095596,0.090942
g1_temporal,1,5,0.086960,0.082672
g1_temporal,1,6,0.095245,0.044693
g1_temporal,1,7,0.082047,0.086594
g1_temporal,1,8,0.059204,0.051071
g1_temporal,1,9,0.097839,0.075211
g1_temporal,1,10,0.122986,0.086288
g1_temporal,1,11,0.086441,0.103989
g1_temporal,1,12,0.080063,0.089081
g1_temporal,1,13,0.098679,0.078674
g1_temporal,1,14,0.071030,0.183670
g1_temporal,1,15,0.101624,0.067093
g1_temporal,1,16,0.089188,0.126022
g1_temporal,1,17,0.138199,0.146011
g1_temporal,1,18,0.090332,0.055801
g1_temporal,1,19,0.088760,0.120148
g1_temporal,1,20,0.074951,0.089905
g1_temporal,1,21,0.083817,0.077103
g1_temporal,1,22,0.123459,0.129028
g1_temporal,1,23,0.093918,0.108810
g1_temporal,1,24,0.095993,0.102814
g1_temporal,1,25,0.105469,0.091965
g1_temporal,1,26,0.091858,0.064316
g1_temporal,1,27,0.101730,0.113266
g1_temporal,1,28,0.103073,0.121902
g1_temporal,1,29,0.091370,0.139938
g1_temporal,1,30,0.107346,0.084351
g1_temporal,1,31,0.093109,0.085739
g1_temporal,1,32,0.106186,0.073151
g1_temporal,1,33,0.095108,0.126373
g1_temporal,1,34,0.089691,0.107437
g1_temporal,1,35,0.096252,0.106842
g1_temporal,1,36,0.101501,0.118896
g1_temporal,1,37,0.095367,0.103287
g1_temporal,1,38,0.079819,0.072601
g1_temporal,1,39,0.081085,0.055771
g1_temporal,1,40,0.086975,0.073898
g1_temporal,1,41,0.087982,0.093109
g1_temporal,1,42,0.093430,0.038712
g1_temporal,1,43,0.087112,0.104950
g1_temporal,1,44,0.082397,0.111145
g1_temporal,1,45,0.092819,0.130219
g1_temporal,1,46,0.093018,0.085876
g1_temporal,1,47,0.083374,0.103073
g1_temporal,1,48,0.098495,0.053268
g1_temporal,1,49,0.099915,0.098480
g1_temporal,1,50,0.095078,0.085602
g1_temporal,1,51,0.101456,0.084595
g1_temporal,1,52,0.084824,0.079437
g1_temporal,1,53,0.083405,0.082687
g1_temporal,1,54,0.127426,0.083054
g1_temporal,1,55,0.090378,0.138794
g1_temporal,1,56,0.103271,0.130554
g1_temporal,1,57,0.070648,0.103516
g1_temporal,1,58,0.094025,0.095871
g1_temporal,1,59,0.122147,0.106003
g1_temporal,1,60,0.082443,0.103088
g1_temporal,1,61,0.097580,0.069397
g1_temporal,1,62,0.103149,0.103867
g1_temporal,1,63,0.092758,0.041275
g1_temporal,2,0,0.067398,0.082840
g1_temporal,2,1,0.118057,0.077454
g1_temporal,2,2,0.122620,0.115341
g1_temporal,2,3,0.079147,0.071503
g1_temporal,2,4,0.113724,0.124039
g1_temporal,2,5,0.072861,0.080811
g1_temporal,2,6,0.083588,0.102783
g1_temporal,2,7,0.100540,0.096298
g1_temporal,2,8,0.084106,0.111038
g1_temporal,2,9,0.093140,0.045563
g1_temporal,2,10,0.083908,0.087982
g1_temporal,2,11,0.085144,0.081787
g1_temporal,2,12,0.088943,0.086517
g1_temporal,2,13,0.106430,0.099899
g1_temporal,2,14,0.080948,0.151321
g1_temporal,2,15,0.100067,0.108795
g1_temporal,2,16,0.090179,0.087830
g1_temporal,2,17,0.126587,0.065811
g1_temporal,2,18,0.091370,0.094696
g1_temporal,2,19,0.143280,0.130203
g1_temporal,2,20,0.079926,0.096680
g1_temporal,2,21,0.109879,0.104599
g1_temporal,2,22,0.093109,0.082352
g1_temporal,2,23,0.108673,0.069717
g1_temporal,2,24,0.076813,0.088882
g1_temporal,2,25,0.103943,0.092804
g1_temporal,2,26,0.085648,0.096390
g1_temporal,2,27,0.083389,0.097809
g1_temporal,2,28,0.121155,0.130219
g1_temporal,2,29,0.093933,0.094681
g1_temporal,2,30,0.104645,0.071854
g1_temporal,2,31,0.096222,0.106842
g1_temporal,2,32,0.122025,0.114670
g1_temporal,2,33,0.099289,0.097397
g1_temporal,2,34,0.109955,0.108917
g1_temporal,2,35,0.095703,0.098907
g1_temporal,2,36,0.104782,0.091644
g1_temporal,2,37,0.081497,0.079727
g1_temporal,2,38,0.091934,0.099640
g1_temporal,2,39,0.091049,0.071884
g1_temporal,2,40,0.112427,0.110275
g1_temporal,2,41,0.110565,0.076233
g1_temporal,2,42,0.073898,0.080276
g1_temporal,2,43,0.091263,0.109543
g1_temporal,2,44,0.086594,0.082993
g1_temporal,2,45,0.071289,0.070175
g1_temporal,2,46,0.092300,0.063843
g1_temporal,2,47,0.075882,0.101425
g1_temporal,2,48,0.082184,0.081940
g1_temporal,2,49,0.103333,0.094162
g1_temporal,2,50,0.042725,0.064285
g1_temporal,2,51,0.081055,0.091446
g1_temporal,2,52,0.108414,0.104721
g1_temporal,2,53,0.073578,0.086151
g1_temporal,2,54,0.108063,0.108597
g1_temporal,2,55,0.081650,0.091446
g1_temporal,2,56,0.085815,0.091644
g1_temporal,2,57,0.085953,0.070251
g1_temporal,2,58,0.071136,0.076309
g1_temporal,2,59,0.127457,0.143723
g1_temporal,2,60,0.087158,0.091736
g1_temporal,2,61,0.095108,0.081680
g1_temporal,2,62,0.090469,0.109009
g1_temporal,2,63,0.076080,0.120010
g1_temporal,3,0,0.094650,0.083740
g1_temporal,3,1,0.078842,0.084305
g1_temporal,3,2,0.123657,0.103989
g1_temporal,3,3,0.095795,0.079529
g1_temporal,3,4,0.083130,0.089310
g1_temporal,3,5,0.088547,0.056824
g1_temporal,3,6,0.069946,0.071350
g1_temporal,3,7,0.090973,0.091705
g1_temporal,3,8,0.083588,0.078781
g1_temporal,3,9,0.071213,0.081604
g1_temporal,3,10,0.098679,0.117676
g1_temporal,3,11,0.097366,0.102570
g1_temporal,3,12,0.084335,0.085098
g1_temporal,3,13,0.081284,0.075119
g1_temporal,3,14,0.090805,0.084427
g1_temporal,3,15,0.080719,0.087418
g1_temporal,3,16,0.077225,0.097656
g1_temporal,3,17,0.096329,0.078125
g1_temporal,3,18,0.114685,0.107513
g1_temporal,3,19,0.104645,0.091995
g1_temporal,3,20,0.097748,0.097824
g1_temporal,3,21,0.092133,0.101349
g1_temporal,3,22,0.105469,0.094208
