run,layer,component,expert,matrix,l2,maxabs,kurtosis
dense_local,0,dense_ffn,,fc1,17.1752,0.100098,0.00640856
dense_local,1,dense_ffn,,fc1,17.7868,0.103516,0.00405772
dense_local,2,dense_ffn,,fc1,18.2293,0.110352,-0.00445398
dense_local,3,dense_ffn,,fc1,18.7401,0.105469,0.00245176
dense_local,4,dense_ffn,,fc1,18.6942,0.102051,0.0229932
dense_local,5,dense_ffn,,fc1,19.1919,0.114746,0.0335159
dense_local,6,dense_ffn,,fc1,19.3847,0.10791,0.0207869
dense_local,7,dense_ffn,,fc1,19.7728,0.114746,0.0360232
dense_local,8,dense_ffn,,fc1,20.3875,0.12793,0.0589058
dense_local,0,dense_ffn,,fc2,4.88661,0.0432129,0.0361459
dense_local,1,dense_ffn,,fc2,5.146,0.0446777,0.0510551
dense_local,2,dense_ffn,,fc2,5.40487,0.0419922,0.0635333
dense_local,3,dense_ffn,,fc2,5.7756,0.052002,0.0792959
dense_local,4,dense_ffn,,fc2,5.66208,0.050293,0.12544
dense_local,5,dense_ffn,,fc2,6.1416,0.0549316,0.104581
dense_local,6,dense_ffn,,fc2,6.34701,0.0576172,0.124899
dense_local,7,dense_ffn,,fc2,6.79435,0.0595703,0.108223
dense_local,8,dense_ffn,,fc2,7.41694,0.0708008,0.18181
g1_moe,0,dense_ffn,,fc1,18.1778,0.100098,0.0210246
g1_moe,0,dense_ffn,,fc2,5.19262,0.043457,0.172944
g1_moe,1,routed,0,fc1,8.53297,0.182617,0.372857
g1_moe,1,routed,1,fc1,8.15474,0.140625,0.379655
g1_moe,1,routed,2,fc1,7.93804,0.149414,0.306754
g1_moe,1,routed,3,fc1,7.7537,0.162109,0.382791
g1_moe,1,routed,4,fc1,8.07541,0.158203,0.298015
g1_moe,1,routed,5,fc1,8.9038,0.164062,0.332781
g1_moe,1,routed,6,fc1,7.82563,0.139648,0.342458
g1_moe,1,routed,7,fc1,8.42427,0.151367,0.350531
g1_moe,1,routed,8,fc1,8.91511,0.172852,0.372083
g1_moe,1,routed,9,fc1,8.01283,0.141602,0.293874
g1_moe,1,routed,10,fc1,8.57517,0.138672,0.416004
g1_moe,1,routed,11,fc1,8.07496,0.15918,0.376663
g1_moe,1,routed,12,fc1,8.24691,0.158203,0.409913
g1_moe,1,routed,13,fc1,8.41096,0.19043,0.441761
g1_moe,1,routed,14,fc1,8.33776,0.176758,0.273665
g1_moe,1,routed,15,fc1,8.14169,0.15625,0.349139
g1_moe,1,routed,16,fc1,8.69581,0.161133,0.428482
g1_moe,1,routed,17,fc1,8.5735,0.188477,0.568229
g1_moe,1,routed,18,fc1,8.06745,0.132812,0.274529
g1_moe,1,routed,19,fc1,8.90524,0.149414,0.425703
g1_moe,1,routed,20,fc1,8.7654,0.150391,0.385738
g1_moe,1,routed,21,fc1,8.60756,0.161133,0.466959
g1_moe,1,routed,22,fc1,7.72451,0.140625,0.306358
g1_moe,1,routed,23,fc1,8.25346,0.162109,0.362196
g1_moe,1,routed,24,fc1,8.63062,0.166992,0.483617
g1_moe,1,routed,25,fc1,7.97181,0.135742,0.279578
g1_moe,1,routed,26,fc1,8.05603,0.148438,0.318341
g1_moe,1,routed,27,fc1,8.77362,0.158203,0.456786
g1_moe,1,routed,28,fc1,8.33779,0.15625,0.343427
g1_moe,1,routed,29,fc1,9.02105,0.158203,0.565517
g1_moe,1,routed,30,fc1,7.87177,0.158203,0.335954
g1_moe,1,routed,31,fc1,7.81093,0.154297,0.283297
g1_moe,1,routed,32,fc1,8.1239,0.141602,0.322799
g1_moe,1,routed,33,fc1,8.27098,0.152344,0.366599
g1_moe,1,routed,34,fc1,8.08713,0.151367,0.282965
g1_moe,1,routed,35,fc1,8.17648,0.15625,0.472302
g1_moe,1,routed,36,fc1,7.87419,0.155273,0.313862
g1_moe,1,routed,37,fc1,8.1676,0.140625,0.294905
g1_moe,1,routed,38,fc1,8.24729,0.138672,0.336711
g1_moe,1,routed,39,fc1,8.06894,0.141602,0.317988
g1_moe,1,routed,40,fc1,8.53191,0.171875,0.405422
g1_moe,1,routed,41,fc1,7.69434,0.124512,0.269008
g1_moe,1,routed,42,fc1,8.25397,0.149414,0.485051
g1_moe,1,routed,43,fc1,8.64278,0.161133,0.469988
g1_moe,1,routed,44,fc1,8.61982,0.166992,0.39813
g1_moe,1,routed,45,fc1,8.02797,0.141602,0.339495
g1_moe,1,routed,46,fc1,8.52379,0.173828,0.462749
g1_moe,1,routed,47,fc1,8.22666,0.143555,0.347826
g1_moe,1,routed,48,fc1,8.26142,0.154297,0.289797
g1_moe,1,routed,49,fc1,8.22889,0.144531,0.375924
g1_moe,1,routed,50,fc1,8.4728,0.15332,0.325936
g1_moe,1,routed,51,fc1,8.00098,0.146484,0.28919
g1_moe,1,routed,52,fc1,8.09829,0.150391,0.288991
g1_moe,1,routed,53,fc1,9.0115,0.151367,0.407917
g1_moe,1,routed,54,fc1,8.34226,0.145508,0.324032
g1_moe,1,routed,55,fc1,7.96097,0.155273,0.337371
g1_moe,1,routed,56,fc1,8.55819,0.164062,0.387687
g1_moe,1,routed,57,fc1,8.33893,0.137695,0.267299
g1_moe,1,routed,58,fc1,8.21496,0.162109,0.296089
g1_moe,1,routed,59,fc1,8.58016,0.163086,0.413169
g1_moe,1,routed,60,fc1,9.02419,0.172852,0.458487
g1_moe,1,routed,61,fc1,8.06881,0.144531,0.276971
g1_moe,1,routed,62,fc1,8.82137,0.172852,0.423549
g1_moe,1,routed,63,fc1,7.76426,0.147461,0.416821
g1_moe,1,routed,0,fc2,3.07779,0.0717773,0.428629
g1_moe,1,routed,1,fc2,3.05019,0.074707,0.536478
g1_moe,1,routed,2,fc2,2.8921,0.0800781,0.628685
g1_moe,1,routed,3,fc2,2.76475,0.0649414,0.570983
g1_moe,1,routed,4,fc2,2.91753,0.0810547,0.479286
g1_moe,1,routed,5,fc2,3.34789,0.0917969,0.41673
g1_moe,1,routed,6,fc2,2.68925,0.0629883,0.405285
g1_moe,1,routed,7,fc2,3.04688,0.0751953,0.527027
g1_moe,1,routed,8,fc2,3.53676,0.090332,0.39316
g1_moe,1,routed,9,fc2,2.84573,0.0639648,0.471287
g1_moe,1,routed,10,fc2,3.2991,0.0712891,0.320317
g1_moe,1,routed,11,fc2,2.83668,0.0693359,0.541546
g1_moe,1,routed,12,fc2,2.98494,0.0708008,0.379282
g1_moe,1,routed,13,fc2,2.99647,0.0834961,0.564866
g1_moe,1,routed,14,fc2,3.00876,0.0678711,0.348484
g1_moe,1,routed,15,fc2,2.84946,0.0737305,0.468001
g1_moe,1,routed,16,fc2,3.1165,0.0922852,0.644622
g1_moe,1,routed,17,fc2,3.08638,0.0854492,0.735803
g1_moe,1,routed,18,fc2,2.93921,0.0683594,0.376081
g1_moe,1,routed,19,fc2,3.36992,0.0844727,0.352424
g1_moe,1,routed,20,fc2,3.31666,0.0742188,0.390169
g1_moe,1,routed,21,fc2,3.25189,0.0717773,0.441292
g1_moe,1,routed,22,fc2,2.70454,0.074707,0.527669
g1_moe,1,routed,23,fc2,2.99484,0.0703125,0.424315
g1_moe,1,routed,24,fc2,3.28712,0.0771484,0.473271
g1_moe,1,routed,25,fc2,2.85295,0.0776367,0.441925
g1_moe,1,routed,26,fc2,2.87024,0.0844727,0.739535
g1_moe,1,routed,27,fc2,3.24422,0.0834961,0.662284
g1_moe,1,routed,28,fc2,2.98295,0.0800781,0.437977
g1_moe,1,routed,29,fc2,3.41108,0.0864258,0.559979
g1_moe,1,routed,30,fc2,2.81934,0.0737305,0.486479
g1_moe,1,routed,31,fc2,2.81018,0.0634766,0.479377
g1_moe,1,routed,32,fc2,2.89133,0.0727539,0.528889
g1_moe,1,routed,33,fc2,3.02719,0.0761719,0.44552
g1_moe,1,routed,34,fc2,2.94963,0.0708008,0.551594
g1_moe,1,routed,35,fc2,3.11844,0.0742188,0.557503
g1_moe,1,routed,36,fc2,2.84048,0.0727539,0.378997
g1_moe,1,routed,37,fc2,2.8983,0.0708008,0.400761
g1_moe,1,routed,38,fc2,2.99069,0.090332,0.440214
g1_moe,1,routed,39,fc2,3.00377,0.0668945,0.32334
g1_moe,1,routed,40,fc2,3.16361,0.0888672,0.606169
g1_moe,1,routed,41,fc2,2.69129,0.0668945,0.485878
g1_moe,1,routed,42,fc2,3.12573,0.0683594,0.328019
g1_moe,1,routed,43,fc2,3.31665,0.0883789,0.531118
g1_moe,1,routed,44,fc2,3.03745,0.0961914,0.621406
g1_moe,1,routed,45,fc2,2.89936,0.0751953,0.476957
g1_moe,1,routed,46,fc2,3.04017,0.0727539,0.514841
g1_moe,1,routed,47,fc2,2.99186,0.0717773,0.289386
g1_moe,1,routed,48,fc2,3.07772,0.0756836,0.515971
g1_moe,1,routed,49,fc2,2.92256,0.0766602,0.393118
g1_moe,1,routed,50,fc2,3.08851,0.0791016,0.505114
g1_moe,1,routed,51,fc2,2.81338,0.0766602,0.573762
g1_moe,1,routed,52,fc2,2.85294,0.0673828,0.424107
g1_moe,1,routed,53,fc2,3.43402,0.0898438,0.575054
g1_moe,1,routed,54,fc2,3.09009,0.078125,0.272815
g1_moe,1,routed,55,fc2,2.82421,0.104492,0.618995
g1_moe,1,routed,56,fc2,3.18406,0.0800781,0.323023
g1_moe,1,routed,57,fc2,3.11606,0.0825195,0.441887
g1_moe,1,routed,58,fc2,3.00582,0.0678711,0.328229
g1_moe,1,routed,59,fc2,3.24174,0.0834961,0.580622
g1_moe,1,routed,60,fc2,3.51168,0.0825195,0.469332
g1_moe,1,routed,61,fc2,2.87093,0.0742188,0.348784
g1_moe,1,routed,62,fc2,3.28531,0.0874023,0.489372
g1_moe,1,routed,63,fc2,2.79103,0.0664062,0.627636
g1_moe,1,router_row,0,router,0.908843,0.171875,-0.143824
g1_moe,1,router_row,1,router,0.864706,0.134766,-0.380084
g1_moe,1,router_row,2,router,0.861144,0.137695,-0.414955
g1_moe,1,router_row,3,router,0.88698,0.142578,-0.595615
g1_moe,1,router_row,4,router,0.870153,0.135742,-0.400798
g1_moe,1,router_row,5,router,0.966235,0.211914,0.236158
g1_moe,1,router_row,6,router,0.823004,0.164062,-0.377666
g1_moe,1,router_row,7,router,0.912117,0.161133,-0.312357
