# substitution tolerance: per-token CE delta (arm minus unperturbed) on cached test micro-batches; BPB = CE/2.9780 (pythia-50k runs) or CE/2.7568 (tok16k 1e17); 95% percentile bootstrap over documents, 2000 resamples; producer analysis/residency/substitution_tolerance.py from analysis/probes/substitution_eval.py .npz records
run,budget,regime,grain,experts,topk,seed,condition,gate,fraction,layer,n_tokens,n_docs,ref_ce,ref_bpb,delta_ce,delta_ce_lo95,delta_ce_hi95,delta_bpb,delta_bpb_lo95,delta_bpb_hi95,hook_calls,subs_per_token_layer,replay_drift
flame38m_g1_moe,1e18,full,1,64,6,1,random,own,matched,all,1048576,1322,3.938136,1.3224,0.130683,0.128906,0.132465,0.0439,0.0433,0.0445,128,1.000,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,random,inherit,matched,all,1048576,1322,3.938136,1.3224,0.268846,0.266069,0.271640,0.0903,0.0893,0.0912,128,1.000,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,nextbest,own,matched,all,1048576,1322,3.938136,1.3224,0.123919,0.122171,0.125594,0.0416,0.0410,0.0422,128,1.000,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,nextbest,inherit,matched,all,1048576,1322,3.938136,1.3224,0.200442,0.198074,0.202839,0.0673,0.0665,0.0681,128,1.000,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,stale,own,matched,all,1048576,1322,3.938136,1.3224,0.129147,0.127498,0.130805,0.0434,0.0428,0.0439,128,0.996,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,stale,inherit,matched,all,1048576,1322,3.938136,1.3224,0.261767,0.259043,0.264522,0.0879,0.0870,0.0888,128,0.996,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,zero,-,matched,all,1048576,1322,3.938136,1.3224,0.132361,0.130571,0.134089,0.0444,0.0438,0.0450,128,1.000,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,random,own,matched,L2,1048576,1322,3.938136,1.3224,0.016079,0.015608,0.016573,0.0054,0.0052,0.0056,16,1.000,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,random,own,matched,L3,1048576,1322,3.938136,1.3224,0.018543,0.018074,0.019034,0.0062,0.0061,0.0064,16,1.000,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,random,own,matched,L4,1048576,1322,3.938136,1.3224,0.015795,0.015369,0.016238,0.0053,0.0052,0.0055,16,1.000,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,random,own,matched,L5,1048576,1322,3.938136,1.3224,0.014814,0.014381,0.015237,0.0050,0.0048,0.0051,16,1.000,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,random,own,matched,L6,1048576,1322,3.938136,1.3224,0.014804,0.014390,0.015207,0.0050,0.0048,0.0051,16,1.000,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,random,own,matched,L7,1048576,1322,3.938136,1.3224,0.013406,0.012994,0.013824,0.0045,0.0044,0.0046,16,1.000,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,random,own,matched,L8,1048576,1322,3.938136,1.3224,0.013143,0.012791,0.013514,0.0044,0.0043,0.0045,16,1.000,0.00e+00
flame38m_g1_moe,1e18,full,1,64,6,1,random,own,matched,L9,1048576,1322,3.938136,1.3224,0.015203,0.014586,0.015844,0.0051,0.0049,0.0053,16,1.000,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,random,own,matched,all,1048576,1322,3.953010,1.3274,0.133536,0.131724,0.135287,0.0448,0.0442,0.0454,128,1.000,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,random,inherit,matched,all,1048576,1322,3.953010,1.3274,0.268767,0.265812,0.271836,0.0903,0.0893,0.0913,128,1.000,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,nextbest,own,matched,all,1048576,1322,3.953010,1.3274,0.126744,0.125034,0.128512,0.0426,0.0420,0.0432,128,1.000,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,nextbest,inherit,matched,all,1048576,1322,3.953010,1.3274,0.205077,0.202456,0.207444,0.0689,0.0680,0.0697,128,1.000,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,stale,own,matched,all,1048576,1322,3.953010,1.3274,0.132477,0.130734,0.134244,0.0445,0.0439,0.0451,128,0.995,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,stale,inherit,matched,all,1048576,1322,3.953010,1.3274,0.261379,0.258524,0.264030,0.0878,0.0868,0.0887,128,0.996,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,zero,-,matched,all,1048576,1322,3.953010,1.3274,0.134780,0.133008,0.136606,0.0453,0.0447,0.0459,128,1.000,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,random,own,matched,L2,1048576,1322,3.953010,1.3274,0.006864,0.006540,0.007194,0.0023,0.0022,0.0024,16,1.000,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,random,own,matched,L3,1048576,1322,3.953010,1.3274,0.015987,0.015498,0.016466,0.0054,0.0052,0.0055,16,1.000,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,random,own,matched,L4,1048576,1322,3.953010,1.3274,0.015633,0.015169,0.016102,0.0052,0.0051,0.0054,16,1.000,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,random,own,matched,L5,1048576,1322,3.953010,1.3274,0.016117,0.015635,0.016592,0.0054,0.0053,0.0056,16,1.000,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,random,own,matched,L6,1048576,1322,3.953010,1.3274,0.016104,0.015647,0.016558,0.0054,0.0053,0.0056,16,1.000,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,random,own,matched,L7,1048576,1322,3.953010,1.3274,0.015162,0.014765,0.015570,0.0051,0.0050,0.0052,16,1.000,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,random,own,matched,L8,1048576,1322,3.953010,1.3274,0.016688,0.016269,0.017118,0.0056,0.0055,0.0057,16,1.000,0.00e+00
flame38m_g1_moe_s2,1e18,full,1,64,6,2,random,own,matched,L9,1048576,1322,3.953010,1.3274,0.021480,0.020881,0.022099,0.0072,0.0070,0.0074,16,1.000,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,random,own,matched,all,1048576,1322,3.944402,1.3245,0.131786,0.129999,0.133545,0.0443,0.0437,0.0448,128,1.000,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,random,inherit,matched,all,1048576,1322,3.944402,1.3245,0.249359,0.246874,0.252065,0.0837,0.0829,0.0846,128,1.000,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,nextbest,own,matched,all,1048576,1322,3.944402,1.3245,0.124622,0.122938,0.126299,0.0418,0.0413,0.0424,128,1.000,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,nextbest,inherit,matched,all,1048576,1322,3.944402,1.3245,0.195137,0.192826,0.197430,0.0655,0.0648,0.0663,128,1.000,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,stale,own,matched,all,1048576,1322,3.944402,1.3245,0.129792,0.128223,0.131408,0.0436,0.0431,0.0441,128,0.995,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,stale,inherit,matched,all,1048576,1322,3.944402,1.3245,0.243773,0.241326,0.246361,0.0819,0.0810,0.0827,128,0.996,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,zero,-,matched,all,1048576,1322,3.944402,1.3245,0.132060,0.130383,0.133791,0.0443,0.0438,0.0449,128,1.000,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,random,own,matched,L2,1048576,1322,3.944402,1.3245,0.016687,0.016177,0.017204,0.0056,0.0054,0.0058,16,1.000,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,random,own,matched,L3,1048576,1322,3.944402,1.3245,0.018855,0.018360,0.019355,0.0063,0.0062,0.0065,16,1.000,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,random,own,matched,L4,1048576,1322,3.944402,1.3245,0.018328,0.017835,0.018806,0.0062,0.0060,0.0063,16,1.000,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,random,own,matched,L5,1048576,1322,3.944402,1.3245,0.014828,0.014387,0.015264,0.0050,0.0048,0.0051,16,1.000,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,random,own,matched,L6,1048576,1322,3.944402,1.3245,0.012187,0.011792,0.012592,0.0041,0.0040,0.0042,16,1.000,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,random,own,matched,L7,1048576,1322,3.944402,1.3245,0.012881,0.012507,0.013271,0.0043,0.0042,0.0045,16,1.000,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,random,own,matched,L8,1048576,1322,3.944402,1.3245,0.014007,0.013596,0.014402,0.0047,0.0046,0.0048,16,1.000,0.00e+00
flame38m_g1_moe_s3,1e18,full,1,64,6,3,random,own,matched,L9,1048576,1322,3.944402,1.3245,0.013822,0.013253,0.014462,0.0046,0.0045,0.0049,16,1.000,0.00e+00
flame38m_g1_temporal,1e18,temporal,1,64,6,1,random,own,matched,all,1048576,1322,3.929403,1.3195,0.107916,0.106275,0.109631,0.0362,0.0357,0.0368,128,1.000,0.00e+00
