run,arm,perturbation,span,layers,n_layers,n_layers_with_ctx,rho_cost_vs_depth,p_cost_vs_depth,rho_cost_vs_ctxshare,p_cost_vs_ctxshare,mean_cost,endpoint_mean,interior_mean,endpoint_over_interior,ctx_at_last_layer,ctx_rank_of_last_layer
flame38m_g1_moe,impose_one,random,full,2-9,8,8,-0.6429,0.0973,-0.5714,0.153,0.59579,0.79737,0.52859,1.508,-0.1648,8
flame38m_g1_moe,impose_one,random,interior,3-8,6,6,-1.0,0.0035,-0.8857,0.0357,0.59579,0.79737,0.52859,1.508,-0.1648,8
flame38m_g1_moe,impose_one,real,full,2-9,8,8,-0.2857,0.501,-0.2857,0.5014,0.28284,0.43898,0.2308,1.902,-0.1648,8
flame38m_g1_moe,impose_one,real,interior,3-8,6,6,-0.8857,0.0352,-0.8857,0.0333,0.28284,0.43898,0.2308,1.902,-0.1648,8
flame38m_g1_temporal,unmask_one,random,full,2-9,8,8,-0.0714,0.8821,-0.6667,0.0834,-0.05585,-0.04522,-0.05939,0.761,0.0979,5
flame38m_g1_temporal,unmask_one,random,interior,3-8,6,6,0.6,0.2412,-0.3714,0.4976,-0.05585,-0.04522,-0.05939,0.761,0.0979,5
flame38m_g1_temporal,unmask_one,real,full,2-9,8,8,-0.0714,0.8875,0.0,1.0,0.03944,0.05023,0.03584,1.402,0.0979,5
flame38m_g1_temporal,unmask_one,real,interior,3-8,6,6,-0.4286,0.4198,0.1429,0.8036,0.03944,0.05023,0.03584,1.402,0.0979,5
flame38m_g1_temporal_s2,unmask_one,real,full,2-9,8,0,0.5238,0.194,,,0.04014,0.05264,0.03598,1.463,,
flame38m_g1_temporal_s2,unmask_one,real,interior,3-8,6,0,0.2571,0.6591,,,0.04014,0.05264,0.03598,1.463,,
flame38m_g3_moe,impose_one,real,full,2-9,8,8,-0.3095,0.4622,-0.2857,0.4993,0.59618,1.07966,0.43502,2.482,-0.1887,8
flame38m_g3_moe,impose_one,real,interior,3-8,6,6,-0.9429,0.0182,-0.8857,0.0336,0.59618,1.07966,0.43502,2.482,-0.1887,8
flame38m_g3_temporal,unmask_one,real,full,2-9,8,8,-0.2381,0.5806,0.1429,0.7522,0.0422,0.05354,0.03842,1.394,0.1273,4
flame38m_g3_temporal,unmask_one,real,interior,3-8,6,6,-0.9429,0.0182,0.4286,0.4133,0.0422,0.05354,0.03842,1.394,0.1273,4
g1_tmoe_coarse_1e19,unmask_one,real,full,2-14,13,13,0.7802,0.0024,0.1923,0.5284,0.02017,0.0373,0.01705,2.187,0.0827,7
g1_tmoe_coarse_1e19,unmask_one,real,interior,3-13,11,11,0.8909,0.0005,0.3727,0.2557,0.02017,0.0373,0.01705,2.187,0.0827,7
moe_coarse_1e19,impose_one,real,full,2-14,13,13,0.2582,0.3917,0.3736,0.2041,0.13892,0.17867,0.1317,1.357,-0.1762,13
moe_coarse_1e19,impose_one,real,interior,3-13,11,11,0.0636,0.8605,0.2182,0.5222,0.13892,0.17867,0.1317,1.357,-0.1762,13
