run,budget,regime,grain,perturbation,arm,layer,R_at_layer,R_elsewhere,test_CE,test_BPB,log
flame38m_g1_temporal,1e18,temporal,coarse6/64,real,native,-,6,6,3.909461,1.8939,swap_native.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,real,unmask_all,-,64,64,4.388937,2.1262,swap_unmask_all.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,real,unmask_one,2,64,6,3.951986,1.9145,swap_unmask_L2.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,real,unmask_one,3,64,6,3.955806,1.9164,swap_unmask_L3.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,real,unmask_one,4,64,6,3.944429,1.9109,swap_unmask_L4.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,real,unmask_one,5,64,6,3.943144,1.9103,swap_unmask_L5.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,real,unmask_one,6,64,6,3.942055,1.9097,swap_unmask_L6.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,real,unmask_one,7,64,6,3.939506,1.9085,swap_unmask_L7.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,real,unmask_one,8,64,6,3.946873,1.9121,swap_unmask_L8.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,real,unmask_one,9,64,6,3.967399,1.9220,swap_unmask_L9.log
flame38m_g1_moe,1e18,full,coarse6/64,real,native,-,64,64,3.918461,1.8983,swap_native.log
flame38m_g1_moe,1e18,full,coarse6/64,real,impose_one,2,6,64,4.329959,2.0977,swap_impose_L2.log
flame38m_g1_moe,1e18,full,coarse6/64,real,impose_one,3,6,64,4.191581,2.0306,swap_impose_L3.log
flame38m_g1_moe,1e18,full,coarse6/64,real,impose_one,4,6,64,4.171071,2.0207,swap_impose_L4.log
flame38m_g1_moe,1e18,full,coarse6/64,real,impose_one,5,6,64,4.137540,2.0044,swap_impose_L5.log
flame38m_g1_moe,1e18,full,coarse6/64,real,impose_one,6,6,64,4.159401,2.0150,swap_impose_L6.log
flame38m_g1_moe,1e18,full,coarse6/64,real,impose_one,7,6,64,4.102463,1.9874,swap_impose_L7.log
flame38m_g1_moe,1e18,full,coarse6/64,real,impose_one,8,6,64,4.133515,2.0025,swap_impose_L8.log
flame38m_g1_moe,1e18,full,coarse6/64,real,impose_one,9,6,64,4.384915,2.1243,swap_impose_L9.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,random,native,-,6,6,4.895146,2.3715,swap_native.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,random,unmask_one,2,64,6,4.861002,2.3549,swap_unmask_L2.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,random,unmask_one,3,64,6,4.781429,2.3164,swap_unmask_L3.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,random,unmask_one,4,64,6,4.832043,2.3409,swap_unmask_L4.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,random,unmask_one,5,64,6,4.848266,2.3487,swap_unmask_L5.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,random,unmask_one,6,64,6,4.857088,2.3530,swap_unmask_L6.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,random,unmask_one,7,64,6,4.853776,2.3514,swap_unmask_L7.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,random,unmask_one,8,64,6,4.841913,2.3457,swap_unmask_L8.log
flame38m_g1_temporal,1e18,temporal,coarse6/64,random,unmask_one,9,64,6,4.838848,2.3442,swap_unmask_L9.log
flame38m_g1_moe,1e18,full,coarse6/64,random,native,-,64,64,3.918474,1.8983,swap_native.log
