run,iteration,train_lm_loss,final_val_ce,final_test_ce,seed,train_lm_loss_bpb,final_val_ce_bpb,final_test_ce_bpb
flame38m_g1_moe,5,1.081353E+01,,,1234,3.6311,,
flame38m_g1_moe,10,1.044676E+01,,,1234,3.5080,,
flame38m_g1_moe,15,1.020798E+01,,,1234,3.4278,,
flame38m_g1_moe,20,9.854642E+00,,,1234,3.3091,,
flame38m_g1_moe,25,9.441991E+00,,,1234,3.1706,,
flame38m_g1_moe,30,8.999666E+00,,,1234,3.0221,,
flame38m_g1_moe,35,8.609218E+00,,,1234,2.8909,,
flame38m_g1_moe,40,8.274211E+00,,,1234,2.7784,,
flame38m_g1_moe,45,7.985950E+00,,,1234,2.6816,,
flame38m_g1_moe,50,7.730639E+00,,,1234,2.5959,,
flame38m_g1_moe,55,7.538265E+00,,,1234,2.5313,,
flame38m_g1_moe,60,7.372864E+00,,,1234,2.4758,,
flame38m_g1_moe,65,7.233876E+00,,,1234,2.4291,,
flame38m_g1_moe,70,7.126189E+00,,,1234,2.3929,,
flame38m_g1_moe,75,7.030569E+00,,,1234,2.3608,,
flame38m_g1_moe,80,6.938113E+00,,,1234,2.3298,,
flame38m_g1_moe,85,6.874259E+00,,,1234,2.3083,,
flame38m_g1_moe,90,6.799048E+00,,,1234,2.2831,,
flame38m_g1_moe,95,6.746242E+00,,,1234,2.2654,,
flame38m_g1_moe,100,6.686590E+00,,,1234,2.2453,,
flame38m_g1_moe,105,6.642422E+00,,,1234,2.2305,,
flame38m_g1_moe,110,6.590397E+00,,,1234,2.2130,,
flame38m_g1_moe,115,6.553350E+00,,,1234,2.2006,,
flame38m_g1_moe,120,6.518463E+00,,,1234,2.1889,,
flame38m_g1_moe,125,6.461935E+00,,,1234,2.1699,,
flame38m_g1_moe,130,6.434695E+00,,,1234,2.1607,,
flame38m_g1_moe,135,6.404463E+00,,,1234,2.1506,,
flame38m_g1_moe,140,6.381034E+00,,,1234,2.1427,,
flame38m_g1_moe,145,6.344860E+00,,,1234,2.1306,,
flame38m_g1_moe,150,6.300941E+00,,,1234,2.1158,,
flame38m_g1_moe,155,6.280365E+00,,,1234,2.1089,,
flame38m_g1_moe,160,6.261253E+00,,,1234,2.1025,,
