model,task,acc,acc_norm
dense_1e19,openbookqa,0.158,0.276
dense_1e19,winogrande,0.5011838989739542,
dense_1e19,piqa,0.6229597388465724,0.6213275299238302
dense_1e19,arc_easy,0.45707070707070707,0.43686868686868685
dense_1e19,arc_challenge,0.18515358361774745,0.22184300341296928
dense_1e19,hellaswag,0.28231428002389963,0.29645488946425014
moe_coarse_1e19,openbookqa,0.188,0.296
moe_coarse_1e19,winogrande,0.5067087608524072,
moe_coarse_1e19,piqa,0.6507072905331882,0.6588683351468988
moe_coarse_1e19,arc_easy,0.5092592592592593,0.49537037037037035
moe_coarse_1e19,arc_challenge,0.2167235494880546,0.24658703071672355
moe_coarse_1e19,hellaswag,0.3058155745867357,0.3414658434574786
temporal_coarse_1e19,openbookqa,0.176,0.292
temporal_coarse_1e19,winogrande,0.5122336227308603,
temporal_coarse_1e19,piqa,0.6643090315560392,0.6588683351468988
temporal_coarse_1e19,arc_easy,0.49915824915824913,0.47264309764309764
temporal_coarse_1e19,arc_challenge,0.20136518771331058,0.24573378839590443
temporal_coarse_1e19,hellaswag,0.30083648675562635,0.33638717386974704
