model,task,metric,value,stderr
dense_1e19,boolq,acc,0.564832,0.008671
dense_1e19,copa,acc,0.65,0.047937
dense_1e19,lambada_openai,acc,0.257326,0.00609
dense_1e19,sciq,acc,0.675,0.014819
dense_1e19,sciq,acc_norm,0.587,0.015578
moe_coarse_1e19,boolq,acc,0.524159,0.008735
moe_coarse_1e19,copa,acc,0.69,0.046482
moe_coarse_1e19,lambada_openai,acc,0.319814,0.006498
moe_coarse_1e19,sciq,acc,0.716,0.014267
moe_coarse_1e19,sciq,acc_norm,0.596,0.015525
temporal_coarse_1e19,boolq,acc,0.565443,0.00867
temporal_coarse_1e19,copa,acc,0.6,0.049237
temporal_coarse_1e19,lambada_openai,acc,0.31438,0.006468
temporal_coarse_1e19,sciq,acc,0.71,0.014356
temporal_coarse_1e19,sciq,acc_norm,0.626,0.015309
temporal_fine_1e19,boolq,acc,0.570031,0.008659
temporal_fine_1e19,copa,acc,0.69,0.046482
temporal_fine_1e19,lambada_openai,acc,0.301572,0.006394
temporal_fine_1e19,sciq,acc,0.712,0.014327
temporal_fine_1e19,sciq,acc_norm,0.631,0.015267
