model,task,metric,value,stderr
dense_1e19,arc_challenge,acc,0.185154,0.011351
dense_1e19,arc_challenge,acc_norm,0.221843,0.012142
dense_1e19,arc_easy,acc,0.457071,0.010222
dense_1e19,arc_easy,acc_norm,0.436869,0.010178
dense_1e19,hellaswag,acc,0.282314,0.004492
dense_1e19,hellaswag,acc_norm,0.296455,0.004558
dense_1e19,openbookqa,acc,0.158,0.016328
dense_1e19,openbookqa,acc_norm,0.276,0.020011
dense_1e19,piqa,acc,0.62296,0.011308
dense_1e19,piqa,acc_norm,0.621328,0.011317
dense_1e19,winogrande,acc,0.501184,0.014052
moe_coarse_1e19,arc_challenge,acc,0.21587,0.012023
moe_coarse_1e19,arc_challenge,acc_norm,0.244881,0.012566
moe_coarse_1e19,arc_easy,acc,0.509259,0.010258
moe_coarse_1e19,arc_easy,acc_norm,0.494949,0.010259
moe_coarse_1e19,hellaswag,acc,0.305915,0.004599
moe_coarse_1e19,hellaswag,acc_norm,0.341466,0.004732
moe_coarse_1e19,openbookqa,acc,0.186,0.017419
moe_coarse_1e19,openbookqa,acc_norm,0.296,0.020435
moe_coarse_1e19,piqa,acc,0.650163,0.011127
moe_coarse_1e19,piqa,acc_norm,0.658324,0.011066
moe_coarse_1e19,winogrande,acc,0.509077,0.01405
temporal_coarse_1e19,arc_challenge,acc,0.203072,0.011756
temporal_coarse_1e19,arc_challenge,acc_norm,0.245734,0.012581
temporal_coarse_1e19,arc_easy,acc,0.497475,0.01026
temporal_coarse_1e19,arc_easy,acc_norm,0.47096,0.010242
temporal_coarse_1e19,hellaswag,acc,0.300538,0.004576
temporal_coarse_1e19,hellaswag,acc_norm,0.336088,0.004714
temporal_coarse_1e19,openbookqa,acc,0.176,0.017048
temporal_coarse_1e19,openbookqa,acc_norm,0.292,0.020354
temporal_coarse_1e19,piqa,acc,0.662133,0.011035
temporal_coarse_1e19,piqa,acc_norm,0.658868,0.011061
temporal_coarse_1e19,winogrande,acc,0.509077,0.01405
temporal_fine_1e19,arc_challenge,acc,0.207338,0.011847
temporal_fine_1e19,arc_challenge,acc_norm,0.25256,0.012697
temporal_fine_1e19,arc_easy,acc,0.498737,0.01026
temporal_fine_1e19,arc_easy,acc_norm,0.484007,0.010255
temporal_fine_1e19,hellaswag,acc,0.302928,0.004586
temporal_fine_1e19,hellaswag,acc_norm,0.335292,0.004711
temporal_fine_1e19,openbookqa,acc,0.18,0.017199
temporal_fine_1e19,openbookqa,acc_norm,0.29,0.020313
temporal_fine_1e19,piqa,acc,0.653972,0.011099
temporal_fine_1e19,piqa,acc_norm,0.651251,0.011119
temporal_fine_1e19,winogrande,acc,0.486188,0.014047
