"# Thinking ablation summary: damage (constrained-free; damage_se = UNPAIRED binomial SE of the difference, n per task) and lengths per model/mode/arm/task. Producer: analysis/residency/think_analysis.py"
"# Every cell is reported at the largest generation budget fair to both of its arms (see FAIR and resolve). budget_free and budget_con are the budgets actually used, caphit_free and caphit_con the percent of that arms generations ending within 8 tokens of it, and record names the source record. A cap-hit above 2 percent means the cell is still budget-limited and its damage carries a truncation component."
model,mode,arm,task,free,constrained,damage,damage_se,gen_free,gen_con,think_free,think_con,budget_free,budget_con,caphit_free,caphit_con,record
gemma4-26B-IT,off,R8,GSM8K,0.8550,0.7950,-6.0,3.8,230,231,230,231,2048,2048,0.0,0.0,gemma4_instruct
gemma4-26B-IT,off,R16,GSM8K,0.8550,0.8550,+0.0,3.5,230,224,230,224,2048,2048,0.0,0.0,gemma4_instruct
gemma4-26B-IT,off,R8,IFEval,0.8600,0.8600,+0.0,3.5,348,339,348,339,2048,2048,0.5,0.0,gemma4_instruct
gemma4-26B-IT,off,R16,IFEval,0.8600,0.8700,+1.0,3.4,348,343,348,343,2048,2048,0.5,0.5,gemma4_instruct
gemma4-26B-IT,off,R8,HumanEval,0.9939,0.9512,-4.3,1.8,334,348,0,0,8192,8192,0.0,0.0,gemma4_instruct_cap8k
gemma4-26B-IT,off,R16,HumanEval,0.9939,0.9878,-0.6,1.1,334,334,0,0,8192,8192,0.0,0.0,gemma4_instruct_cap8k
gemma4-26B-IT,off,R8,MMLU,0.6754,0.6974,+2.2,4.3,,,,,2048,2048,,,gemma4_instruct
gemma4-26B-IT,off,R16,MMLU,0.6754,0.7149,+3.9,4.3,,,,,2048,2048,,,gemma4_instruct
gemma4-26B-IT,on,R8,GSM8K,0.8750,0.8300,-4.5,3.5,270,345,556,713,4096,4096,1.0,3.0,gemma4_think_on
gemma4-26B-IT,on,R16,GSM8K,0.8750,0.8600,-1.5,3.4,270,318,556,606,4096,4096,1.0,2.5,gemma4_think_on
gemma4-26B-IT,on,R8,IFEval,0.9350,0.9400,+0.5,2.4,319,353,2765,3035,16384,16384,0.0,0.0,gemma4_think_on_cap16k
gemma4-26B-IT,on,R16,IFEval,0.9350,0.9350,+0.0,2.5,319,306,2765,2835,16384,16384,0.0,0.0,gemma4_think_on_cap16k
gemma4-26B-IT,on,R8,HumanEval,0.9817,0.9451,-3.7,2.1,2170,2512,1638,1852,8192,8192,1.8,2.4,gemma4_think_on_cap8k
gemma4-26B-IT,on,R16,HumanEval,0.9817,0.9817,+0.0,1.5,2170,2387,1638,1745,8192,8192,1.8,1.8,gemma4_think_on_cap8k
gemma4-26B-IT,on,R8,MMLU,0.9518,0.9386,-1.3,2.1,369,343,,,8192,8192,0.0,0.0,gemma4_think_on_cap8k
gemma4-26B-IT,on,R16,MMLU,0.9518,0.9430,-0.9,2.1,369,352,,,8192,8192,0.0,0.0,gemma4_think_on_cap8k
Qwen3.5-35B,on,R8,GSM8K,0.8350,0.8050,-3.0,3.8,410,321,1246,1437,4096,4096,4.0,1.5,qwen35_instruct
Qwen3.5-35B,on,R32,GSM8K,0.8350,0.8250,-1.0,3.8,410,362,1246,1248,4096,4096,4.0,2.5,qwen35_instruct
Qwen3.5-35B,on,R8,IFEval,0.8900,0.7650,-12.5,3.7,297,716,3732,4446,16384,16384,0.0,0.0,qwen35_instruct_cap16k_b
Qwen3.5-35B,on,R32,IFEval,0.8900,0.8700,-2.0,3.2,297,370,3732,3757,16384,16384,0.0,0.0,qwen35_instruct_cap16k_b
Qwen3.5-35B,on,R8,HumanEval,0.9512,0.8902,-6.1,3.0,845,1245,618,974,4096,8192,0.0,0.6,qwen35_instruct_cap8k
Qwen3.5-35B,on,R32,HumanEval,0.9512,0.9512,+0.0,2.4,845,1224,618,910,4096,8192,0.0,1.8,qwen35_instruct_cap8k
Qwen3.5-35B,on,R8,MMLU,0.9386,0.9167,-2.2,2.4,2894,3363,2728,3164,8192,8192,0.9,3.9,qwen35_instruct_cap8k
Qwen3.5-35B,on,R32,MMLU,0.9386,0.9254,-1.3,2.4,2894,2597,2728,2437,8192,8192,0.9,2.6,qwen35_instruct_cap8k
Qwen3.5-35B,off,R8,GSM8K,0.8500,0.7800,-7.0,3.9,324,339,,,2048,2048,1.5,2.0,qwen35_think_off
