"# Truncation decomposition per constrained cell (TRUNCATION_RERUN_PLAN section 1). acc_reported = scored as-is; acc_honest = generations that hit the cap with thinking still open count as unanswered; acc_finished = over the n_finished that emitted something. n_unfinished is group A. Re-analysis of committed dumps; no regeneration. Producer: analysis/residency/truncation_decomp.py"
surface,record,arm,n,n_unfinished,acc_reported,acc_honest,acc_finished,n_finished
HumanEval,gemma4_instruct,R16,164,3,0.981707,0.975610,0.993789,161
HumanEval,gemma4_instruct,R8,164,4,0.926829,0.926829,0.950000,160
HumanEval,gemma4_instruct_cap8k,R16,164,1,0.987805,0.987805,0.993865,163
HumanEval,gemma4_instruct_cap8k,R8,164,1,0.951220,0.945122,0.950920,163
HumanEval,gemma4_think_on,R16,164,30,0.762195,0.762195,0.932836,134
MMLU,gemma4_think_on,R16,228,5,0.929825,0.925439,0.946188,223
HumanEval,gemma4_think_on,R8,164,40,0.664634,0.664634,0.879032,124
MMLU,gemma4_think_on,R8,228,11,0.894737,0.881579,0.926267,217
HumanEval,gemma4_think_on_cap8k,R16,164,3,0.981707,0.981707,1.000000,161
HumanEval,gemma4_think_on_cap8k,R8,164,1,0.945122,0.945122,0.950920,163
HumanEval,gptoss_120b,R16,164,1,0.945122,0.945122,0.950920,163
MMLU,gptoss_120b,R16,228,0,0.868421,0.868421,0.868421,228
HumanEval,gptoss_120b,R4,164,2,0.969512,0.969512,0.981481,162
MMLU,gptoss_120b,R4,228,0,0.859649,0.859649,0.859649,228
HumanEval,gptoss_120b_cap8k,R16,164,0,0.957317,0.957317,0.957317,164
HumanEval,gptoss_120b_cap8k,R4,164,0,0.975610,0.975610,0.975610,164
HumanEval,gptoss_120b_high,R16,164,7,0.932927,0.932927,0.974522,157
MMLU,gptoss_120b_high,R16,228,3,0.907895,0.903509,0.915556,225
HumanEval,gptoss_120b_high,R4,164,12,0.902439,0.902439,0.973684,152
MMLU,gptoss_120b_high,R4,228,3,0.903509,0.899123,0.911111,225
HumanEval,gptoss_120b_high_cap8k,R16,164,3,0.963415,0.963415,0.981366,161
HumanEval,gptoss_120b_high_cap8k,R4,164,2,0.963415,0.963415,0.975309,162
HumanEval,gptoss_120b_low,R16,164,0,0.932927,0.932927,0.932927,164
MMLU,gptoss_120b_low,R16,228,0,0.894737,0.894737,0.894737,228
HumanEval,gptoss_120b_low,R4,164,0,0.951220,0.951220,0.951220,164
MMLU,gptoss_120b_low,R4,228,0,0.903509,0.903509,0.903509,228
HumanEval,gptoss_20b,R4,164,2,0.939024,0.939024,0.950617,162
MMLU,gptoss_20b,R4,228,1,0.793860,0.793860,0.797357,227
HumanEval,gptoss_20b_cap8k,R4,164,0,0.945122,0.945122,0.945122,164
HumanEval,gptoss_20b_high,R4,164,24,0.798780,0.798780,0.935714,140
MMLU,gptoss_20b_high,R4,228,3,0.807018,0.807018,0.817778,225
HumanEval,gptoss_20b_high_cap8k,R4,164,10,0.896341,0.896341,0.954545,154
HumanEval,gptoss_20b_low,R4,164,0,0.926829,0.926829,0.926829,164
MMLU,gptoss_20b_low,R4,228,0,0.815789,0.815789,0.815789,228
HumanEval,lfm25_instruct,R4,164,14,0.670732,0.670732,0.733333,150
MMLU,lfm25_instruct,R4,228,5,0.557018,0.548246,0.560538,223
HumanEval,lfm25_instruct_cap8k,R4,164,6,0.676829,0.676829,0.702532,158
MMLU,olmoe_instruct,R8,228,0,0.456140,0.456140,0.456140,228
HumanEval,qwen35_instruct,R32,164,5,0.963415,0.945122,0.974843,159
MMLU,qwen35_instruct,R32,228,49,0.877193,0.728070,0.927374,179
HumanEval,qwen35_instruct,R8,164,2,0.890244,0.890244,0.901235,162
MMLU,qwen35_instruct,R8,228,63,0.815789,0.644737,0.890909,165
MMLU,qwen35_instruct_cap8k,R32,228,6,0.925439,0.925439,0.950450,222
MMLU,qwen35_instruct_cap8k,R8,228,6,0.916667,0.916667,0.941441,222
