cell,mean,sd_across_subsets,n_subsets,subset_means
gemma4_base_R16,7.465,0.050,3,7.41 7.47 7.51
gemma4_base_R8,7.460,0.076,3,7.37 7.50 7.50
gemma4_base_free,7.533,0.183,3,7.42 7.44 7.74
gemma4_d12_R16,7.548,0.115,3,7.42 7.57 7.65
gemma4_d12_R8,7.504,0.062,3,7.46 7.58 7.47
gemma4_d12_free,7.545,0.122,3,7.43 7.54 7.67
lfm25_R4,7.076,0.280,3,7.35 7.09 6.79
lfm25_free,7.384,0.209,3,7.57 7.43 7.16
oss120_R16,8.505,0.093,3,8.61 8.46 8.44
oss120_R4,8.436,0.161,3,8.60 8.42 8.28
oss120_free,8.516,0.031,3,8.55 8.50 8.50
oss20_R4,7.455,0.416,3,7.80 7.58 6.99
oss20_free,7.628,0.378,3,8.00 7.65 7.24
qwen35_base_R32,7.849,0.038,3,7.81 7.88 7.86
qwen35_base_R8,7.827,0.088,3,7.77 7.93 7.78
qwen35_base_free,7.973,0.013,3,7.99 7.97 7.96
qwen35_r2_R32,7.839,0.079,3,7.88 7.89 7.75
qwen35_r2_R8,7.808,0.073,3,7.73 7.87 7.82
qwen35_r2_free,7.912,0.087,3,7.92 7.99 7.82
