run,layer,E,k,swaps_tl,xfers_tl,eff_exp,max_share,neglected,union_seq
g1_ref_moe_1e16,2,64,6,0.8283,4.97,63.8,0.0193,0,64.0
g1_ref_moe_1e16,3,64,6,0.7879,4.727,63.8,0.0205,0,64.0
g1_ref_moe_1e16,4,64,6,0.7799,4.68,63.5,0.02,0,64.0
g1_ref_moe_1e16,MEAN,64,6,0.7987,4.7923,63.7,0.0199,0.0,64.0
g1_ref_tmoe_1e16,2,64,6,0.7344,4.407,62.8,0.0234,0,64.0
g1_ref_tmoe_1e16,3,64,6,0.6087,3.652,61.8,0.0239,0,64.0
g1_ref_tmoe_1e16,4,64,6,0.523,3.138,60.6,0.0236,0,63.9
g1_ref_tmoe_1e16,MEAN,64,6,0.622,3.7323,61.7333,0.0236,0.0,63.9667
g1_bles0.01_1e16,2,64,6,0.6681,4.009,55.0,0.0489,1,64.0
g1_bles0.01_1e16,3,64,6,0.7473,4.484,62.3,0.0248,0,64.0
g1_bles0.01_1e16,4,64,6,0.7953,4.772,60.8,0.029,0,64.0
g1_bles0.01_1e16,MEAN,64,6,0.7369,4.4217,59.3667,0.0342,0.3333,64.0
g1_bles0.03_1e16,2,64,6,0.6186,3.712,22.7,0.134,31,53.0
g1_bles0.03_1e16,3,64,6,0.5837,3.502,46.0,0.0945,6,60.2
g1_bles0.03_1e16,4,64,6,0.6482,3.889,60.7,0.0317,0,64.0
g1_bles0.03_1e16,MEAN,64,6,0.6168,3.701,43.1333,0.0867,12.3333,59.0667
g1_bles0.1_1e16,2,64,6,0.4627,2.776,14.6,0.1403,43,35.3
g1_bles0.1_1e16,3,64,6,0.5105,3.063,19.0,0.1304,33,43.0
g1_bles0.1_1e16,4,64,6,0.5964,3.578,27.9,0.113,22,59.3
g1_bles0.1_1e16,MEAN,64,6,0.5232,3.139,20.5,0.1279,32.6667,45.8667
g1_bles1_1e16,2,64,6,0.4724,2.834,14.8,0.1432,41,33.1
g1_bles1_1e16,3,64,6,0.5598,3.359,20.8,0.1505,34,46.5
g1_bles1_1e16,4,64,6,0.6053,3.632,23.9,0.118,29,52.8
g1_bles1_1e16,MEAN,64,6,0.5458,3.275,19.8333,0.1372,34.6667,44.1333
g1_bles10_1e16,2,64,6,0.4978,2.987,14.2,0.1351,46,21.2
g1_bles10_1e16,3,64,6,0.4357,2.614,13.1,0.1413,46,22.5
g1_bles10_1e16,4,64,6,0.3082,1.849,10.2,0.1639,50,18.1
g1_bles10_1e16,MEAN,64,6,0.4139,2.4833,12.5,0.1468,47.3333,20.6
g1_bles100_1e16,2,64,6,0.2866,1.719,9.1,0.1657,53,12.0
g1_bles100_1e16,3,64,6,0.4535,2.721,12.7,0.1609,48,20.6
g1_bles100_1e16,4,64,6,0.2169,1.302,8.7,0.1667,52,13.4
g1_bles100_1e16,MEAN,64,6,0.319,1.914,10.1667,0.1644,51.0,15.3333
g3_ref_moe_1e16,2,192,18,0.8178,14.721,191.3,0.0067,0,192.0
g3_ref_moe_1e16,3,192,18,0.7626,13.727,191.0,0.007,0,192.0
g3_ref_moe_1e16,4,192,18,0.7751,13.952,190.5,0.0076,0,192.0
g3_ref_moe_1e16,MEAN,192,18,0.7852,14.1333,190.9333,0.0071,0.0,192.0
g3_ref_tmoe_1e16,2,192,18,0.7124,12.823,184.6,0.0093,0,192.0
g3_ref_tmoe_1e16,3,192,18,0.643,11.573,188.3,0.0082,0,191.9
g3_ref_tmoe_1e16,4,192,18,0.5436,9.785,185.2,0.009,0,191.2
g3_ref_tmoe_1e16,MEAN,192,18,0.633,11.3937,186.0333,0.0088,0.0,191.7
g3_bles0.01_1e16,2,192,18,0.6224,11.204,108.5,0.0415,44,176.5
g3_bles0.01_1e16,3,192,18,0.7361,13.249,186.2,0.0099,0,192.0
g3_bles0.01_1e16,4,192,18,0.7826,14.086,178.8,0.0168,0,191.9
g3_bles0.01_1e16,MEAN,192,18,0.7137,12.8463,157.8333,0.0227,14.6667,186.8
g3_bles0.03_1e16,2,192,18,0.5641,10.153,60.5,0.0412,95,122.8
g3_bles0.03_1e16,3,192,18,0.6762,12.171,144.8,0.0237,20,184.7
g3_bles0.03_1e16,4,192,18,0.7475,13.455,154.6,0.0335,9,191.5
