run,gamma_m,beta_m,swaprate,setcov,masscov
tmoe_minlogit_sh1_s2_1e17,0.125,0.5,0.9905410356619443,0.498659610748291,0.5006085634231567
tmoe_minlogit_sh1_s2_1e17,0.125,1.0,0.9754946262823644,0.5911872982978821,0.593169093132019
tmoe_minlogit_sh1_s2_1e17,0.125,2.0,0.9254885197850513,0.7054449319839478,0.7080281972885132
tmoe_minlogit_sh1_s2_1e17,0.0625,0.5,0.992000488519785,0.4798505902290344,0.4818025231361389
tmoe_minlogit_sh1_s2_1e17,0.0625,1.0,0.9805874450415242,0.5637273788452148,0.5655837655067444
tmoe_minlogit_sh1_s2_1e17,0.0625,2.0,0.9431485100146556,0.6772278547286987,0.6793750524520874
tmoe_minlogit_sh1_s2_1e17,0.03125,0.5,0.993295065950171,0.4647247791290283,0.4667070806026459
tmoe_minlogit_sh1_s2_1e17,0.03125,1.0,0.9848070346849047,0.5367865562438965,0.5386785268783569
tmoe_minlogit_sh1_s2_1e17,0.03125,2.0,0.95730947728383,0.6442099809646606,0.6462723612785339
g3_tmoe_s1_1e17,0.125,0.5,0.9999771006350757,0.471333384513855,0.47227704524993896
g3_tmoe_s1_1e17,0.125,1.0,0.9998626038104543,0.5604560375213623,0.56154465675354
g3_tmoe_s1_1e17,0.125,2.0,0.9989924279433318,0.6647549867630005,0.666374683380127
g3_tmoe_s1_1e17,0.0625,0.5,0.9999847337567171,0.4644779562950134,0.46534264087677
g3_tmoe_s1_1e17,0.0625,1.0,0.9998778700537372,0.5581419467926025,0.5589660406112671
g3_tmoe_s1_1e17,0.0625,2.0,0.9991985222276503,0.6768887042999268,0.6779018640518188
g3_tmoe_s1_1e17,0.03125,0.5,1.0,0.45384761691093445,0.454700767993927
g3_tmoe_s1_1e17,0.03125,1.0,0.9999313019052272,0.5432441830635071,0.5439940690994263
g3_tmoe_s1_1e17,0.03125,2.0,0.9993969833903273,0.6657595634460449,0.666527271270752
flame38m_temporal_minlogit,0.125,0.5,0.9948705422569614,0.4616537392139435,0.4620385766029358
flame38m_temporal_minlogit,0.125,1.0,0.9829170737664876,0.5733008980751038,0.5729154348373413
flame38m_temporal_minlogit,0.125,2.0,0.9413089276990718,0.6958239078521729,0.6962569952011108
flame38m_temporal_minlogit,0.0625,0.5,0.9962903028822667,0.4330015480518341,0.4337409734725952
flame38m_temporal_minlogit,0.0625,1.0,0.9878328041035662,0.5398169159889221,0.5393655896186829
flame38m_temporal_minlogit,0.0625,2.0,0.9567507327796776,0.6667048335075378,0.666256308555603
flame38m_temporal_minlogit,0.03125,0.5,0.997191011235955,0.40758833289146423,0.4088818430900574
flame38m_temporal_minlogit,0.03125,1.0,0.9917104298974109,0.5026155710220337,0.5026240348815918
flame38m_temporal_minlogit,0.03125,2.0,0.9697881045432339,0.6285519599914551,0.6280084848403931
