run,k,T,retained_mass,rolling_baseline_mass,setcov,union,eff,maxres,turnover_per_boundary,amortized_swaps,eff_plain
g3_tmoe_s0_1e16,18,rolling,45.76,45.76,35.16,158.12,183.87,18.21,,,186.81
g3_tmoe_s0_1e16,18,9,29.35,45.76,27.84,180.58,180.6,30.93,11.21,1.246,186.81
g3_tmoe_s0_1e16,18,18,28.76,45.76,27.47,173.28,174.69,42.65,10.5,0.583,186.81
g3_tmoe_s0_1e16,18,36,28.49,45.76,27.48,170.57,166.23,56.31,9.7,0.269,186.81
g3_tmoe_s0_1e16,18,72,28.55,45.76,27.97,175.59,155.56,66.97,8.91,0.124,186.81
g3_tmoe_s0_1e16_auxfree,18,rolling,52.83,52.83,40.17,147.37,126.15,68.57,,,152.91
g3_tmoe_s0_1e16_auxfree,18,9,33.06,52.83,31.8,157.42,136.03,52.28,10.45,1.161,152.91
g3_tmoe_s0_1e16_auxfree,18,18,32.81,52.83,31.17,148.78,129.06,56.54,9.92,0.551,152.91
g3_tmoe_s0_1e16_auxfree,18,36,32.98,52.83,31.17,147.56,122.5,60.41,9.25,0.257,152.91
g3_tmoe_s0_1e16_auxfree,18,72,33.65,52.83,32.03,155.07,116.5,69.23,8.55,0.119,152.91
g3_tmoe_s0_1e16_karen,18,rolling,52.23,52.23,41.63,153.4,129.26,98.0,,,154.42
g3_tmoe_s0_1e16_karen,18,9,34.14,52.23,33.37,162.92,136.41,97.21,10.0,1.111,154.42
g3_tmoe_s0_1e16_karen,18,18,33.78,52.23,33.03,153.17,129.89,98.95,9.38,0.521,154.42
g3_tmoe_s0_1e16_karen,18,36,33.78,52.23,33.21,150.96,123.85,99.31,8.69,0.241,154.42
g3_tmoe_s0_1e16_karen,18,72,34.23,52.23,33.98,158.08,117.28,98.87,8.05,0.112,154.42
g3_tmoe_s0_1e16_karen2t,18,rolling,52.81,52.81,41.4,149.39,126.27,91.2,,,152.98
g3_tmoe_s0_1e16_karen2t,18,9,34.18,52.81,33.01,157.7,136.04,89.94,10.11,1.124,152.98
g3_tmoe_s0_1e16_karen2t,18,18,33.78,52.81,32.59,149.48,129.8,95.04,9.55,0.53,152.98
g3_tmoe_s0_1e16_karen2t,18,36,33.76,52.81,32.69,147.51,123.54,97.18,8.91,0.247,152.98
g3_tmoe_s0_1e16_karen2t,18,72,34.24,52.81,33.51,154.52,116.54,97.52,8.21,0.114,152.98
g3_tmoe_s0_1e16_karen_seed2,18,rolling,52.03,52.03,40.59,150.68,123.53,88.27,,,153.23
g3_tmoe_s0_1e16_karen_seed2,18,9,33.23,52.03,32.03,158.59,135.09,61.54,10.29,1.143,153.23
g3_tmoe_s0_1e16_karen_seed2,18,18,33.22,52.03,31.9,148.68,127.49,75.42,9.57,0.532,153.23
g3_tmoe_s0_1e16_karen_seed2,18,36,33.47,52.03,32.24,146.6,119.45,86.94,8.76,0.243,153.23
g3_tmoe_s0_1e16_karen_seed2,18,72,34.12,52.03,33.23,153.84,111.47,92.13,7.94,0.11,153.23
g3_tmoe_s0_1e16_karen_soft,18,rolling,52.89,52.89,41.5,152.83,126.45,69.06,,,153.74
g3_tmoe_s0_1e16_karen_soft,18,9,34.38,52.89,33.23,161.19,134.66,68.9,10.04,1.116,153.74
g3_tmoe_s0_1e16_karen_soft,18,18,34.02,52.89,32.77,150.85,127.12,78.5,9.46,0.526,153.74
g3_tmoe_s0_1e16_karen_soft,18,36,34.06,52.89,32.79,149.21,119.76,87.0,8.82,0.245,153.74
g3_tmoe_s0_1e16_karen_soft,18,72,34.68,52.89,33.69,157.42,112.77,91.52,8.1,0.112,153.74
g3_tmoe_s1_1e17,18,rolling,54.21,54.21,40.31,158.77,176.6,25.27,,,182.75
g3_tmoe_s1_1e17,18,9,34.21,54.21,31.79,173.8,175.64,35.51,10.66,1.184,182.75
g3_tmoe_s1_1e17,18,18,33.66,54.21,31.06,166.42,171.02,38.79,10.26,0.57,182.75
g3_tmoe_s1_1e17,18,36,33.41,54.21,30.79,163.56,166.13,42.26,9.85,0.274,182.75
g3_tmoe_s1_1e17,18,72,33.98,54.21,31.5,169.45,162.03,47.71,9.26,0.129,182.75
tmoe_minlogit_sh1_s0_1e16,6,rolling,63.24,63.24,49.89,62.77,58.9,20.54,,,60.8
tmoe_minlogit_sh1_s0_1e16,6,3,30.02,63.24,28.76,63.02,60.3,16.57,4.07,1.358,60.8
tmoe_minlogit_sh1_s0_1e16,6,6,25.82,63.24,24.65,61.92,59.48,21.07,4.25,0.708,60.8
tmoe_minlogit_sh1_s0_1e16,6,12,24.67,63.24,23.35,60.02,58.47,20.77,4.16,0.347,60.8
tmoe_minlogit_sh1_s0_1e16,6,24,24.86,63.24,23.58,58.83,57.07,29.24,3.92,0.163,60.8
tmoe_minlogit_sh1_s2_1e17,6,rolling,65.76,65.76,54.84,62.2,61.18,20.15,,,62.03
tmoe_minlogit_sh1_s2_1e17,6,3,36.13,65.76,33.71,62.45,61.62,17.8,3.73,1.242,62.03
tmoe_minlogit_sh1_s2_1e17,6,6,32.06,65.76,30.06,60.82,61.1,18.95,3.83,0.639,62.03
tmoe_minlogit_sh1_s2_1e17,6,12,30.45,65.76,28.61,59.18,60.16,19.9,3.77,0.314,62.03
tmoe_minlogit_sh1_s2_1e17,6,24,30.01,65.76,28.36,57.69,59.42,21.16,3.62,0.151,62.03
tmoe_minlogit_sh1_s3_1e17,6,rolling,59.42,59.42,50.18,62.81,61.6,20.48,,,62.05
tmoe_minlogit_sh1_s3_1e17,6,3,31.13,59.42,29.46,63.02,61.6,18.85,4.0,1.333,62.05
tmoe_minlogit_sh1_s3_1e17,6,6,27.48,59.42,26.1,61.81,60.98,19.97,4.1,0.683,62.05
tmoe_minlogit_sh1_s3_1e17,6,12,26.07,59.42,24.84,60.28,59.86,24.09,4.01,0.334,62.05
tmoe_minlogit_sh1_s3_1e17,6,24,25.74,59.42,24.71,58.92,58.17,33.5,3.79,0.158,62.05
flame38m_temporal_minlogit,6,rolling,64.48,64.48,47.1,62.33,53.68,39.06,,,55.93
flame38m_temporal_minlogit,6,3,29.3,64.48,26.84,62.72,53.64,41.66,4.18,1.394,55.93
flame38m_temporal_minlogit,6,6,26.16,64.48,23.59,60.95,51.33,43.16,4.27,0.712,55.93
flame38m_temporal_minlogit,6,12,25.29,64.48,22.35,58.88,47.6,45.63,4.18,0.349,55.93
flame38m_temporal_minlogit,6,24,24.91,64.48,21.92,55.98,43.39,50.06,4.0,0.167,55.93
