model,policy,set_coverage,mass_coverage
"8.1M active, coarse (6 of 64 experts)",min_logit,0.38197,0.42063
"8.1M active, coarse (6 of 64 experts)",LRU,0.31477,0.35647
"8.1M active, coarse (6 of 64 experts)",min_logit+tau*(2.0),0.32857,0.36595
"8.1M active, coarse (6 of 64 experts)",discounted-oracle(g=0.5),0.66483,0.70068
"8.1M active, coarse (6 of 64 experts)",discounted-oracle(g=0.9),0.51671,0.55577
"8.1M active, coarse (6 of 64 experts)",discounted-oracle(g=0.95),0.43139,0.45968
"8.1M active, coarse (6 of 64 experts)",Belady,0.46844,0.50500
"8.1M active, coarse (6 of 64 experts)",Belady+prefetch(h=1),0.60267,0.70095
"8.1M active, coarse (6 of 64 experts)",Belady+prefetch(h=4),0.52764,0.61573
"8.1M active, coarse (6 of 64 experts)",Belady+prefetch(h=16),0.39973,0.42887
"3.9M active, fine-grained (18 of 192 experts)",min_logit,0.34746,0.39108
"3.9M active, fine-grained (18 of 192 experts)",LRU,0.26832,0.33456
"3.9M active, fine-grained (18 of 192 experts)",min_logit+tau*(4.0),0.24540,0.28938
"3.9M active, fine-grained (18 of 192 experts)",discounted-oracle(g=0.5),0.52725,0.56695
"3.9M active, fine-grained (18 of 192 experts)",discounted-oracle(g=0.9),0.52630,0.56687
"3.9M active, fine-grained (18 of 192 experts)",discounted-oracle(g=0.95),0.46009,0.49125
"3.9M active, fine-grained (18 of 192 experts)",Belady,0.40654,0.46569
"3.9M active, fine-grained (18 of 192 experts)",Belady+prefetch(h=1),0.45096,0.58869
"3.9M active, fine-grained (18 of 192 experts)",Belady+prefetch(h=4),0.44728,0.58637
"3.9M active, fine-grained (18 of 192 experts)",Belady+prefetch(h=16),0.39802,0.47618
"38.0M active, coarse (6 of 64 experts)",min_logit,0.30424,0.34359
"38.0M active, coarse (6 of 64 experts)",LRU,0.26463,0.30649
"38.0M active, coarse (6 of 64 experts)",min_logit+tau*(4.0),0.19905,0.23686
"38.0M active, coarse (6 of 64 experts)",discounted-oracle(g=0.5),0.60551,0.65584
"38.0M active, coarse (6 of 64 experts)",discounted-oracle(g=0.9),0.47668,0.53629
"38.0M active, coarse (6 of 64 experts)",discounted-oracle(g=0.95),0.38551,0.43146
"38.0M active, coarse (6 of 64 experts)",Belady,0.40407,0.44267
"38.0M active, coarse (6 of 64 experts)",Belady+prefetch(h=1),0.54059,0.69485
"38.0M active, coarse (6 of 64 experts)",Belady+prefetch(h=4),0.46970,0.61007
"38.0M active, coarse (6 of 64 experts)",Belady+prefetch(h=16),0.34568,0.38929
