panel,token,expert,num_experts_E,topk_k,moe_layer
full MoE  (top-k),0,10,64,6,7
full MoE  (top-k),0,21,64,6,7
full MoE  (top-k),0,55,64,6,7
full MoE  (top-k),0,58,64,6,7
full MoE  (top-k),0,59,64,6,7
full MoE  (top-k),0,62,64,6,7
full MoE  (top-k),1,16,64,6,7
full MoE  (top-k),1,19,64,6,7
full MoE  (top-k),1,25,64,6,7
full MoE  (top-k),1,30,64,6,7
full MoE  (top-k),1,36,64,6,7
full MoE  (top-k),1,59,64,6,7
full MoE  (top-k),2,0,64,6,7
full MoE  (top-k),2,7,64,6,7
full MoE  (top-k),2,22,64,6,7
full MoE  (top-k),2,31,64,6,7
full MoE  (top-k),2,53,64,6,7
full MoE  (top-k),2,55,64,6,7
full MoE  (top-k),3,11,64,6,7
full MoE  (top-k),3,22,64,6,7
full MoE  (top-k),3,26,64,6,7
full MoE  (top-k),3,32,64,6,7
full MoE  (top-k),3,33,64,6,7
full MoE  (top-k),3,61,64,6,7
full MoE  (top-k),4,4,64,6,7
full MoE  (top-k),4,10,64,6,7
full MoE  (top-k),4,38,64,6,7
full MoE  (top-k),4,44,64,6,7
full MoE  (top-k),4,52,64,6,7
full MoE  (top-k),4,62,64,6,7
full MoE  (top-k),5,4,64,6,7
full MoE  (top-k),5,6,64,6,7
full MoE  (top-k),5,7,64,6,7
full MoE  (top-k),5,10,64,6,7
full MoE  (top-k),5,45,64,6,7
full MoE  (top-k),5,59,64,6,7
full MoE  (top-k),6,0,64,6,7
full MoE  (top-k),6,7,64,6,7
full MoE  (top-k),6,19,64,6,7
full MoE  (top-k),6,25,64,6,7
full MoE  (top-k),6,38,64,6,7
full MoE  (top-k),6,59,64,6,7
full MoE  (top-k),7,0,64,6,7
full MoE  (top-k),7,17,64,6,7
full MoE  (top-k),7,22,64,6,7
full MoE  (top-k),7,31,64,6,7
full MoE  (top-k),7,32,64,6,7
full MoE  (top-k),7,55,64,6,7
full MoE  (top-k),8,3,64,6,7
full MoE  (top-k),8,13,64,6,7
full MoE  (top-k),8,32,64,6,7
full MoE  (top-k),8,34,64,6,7
full MoE  (top-k),8,53,64,6,7
full MoE  (top-k),8,58,64,6,7
full MoE  (top-k),9,14,64,6,7
full MoE  (top-k),9,17,64,6,7
full MoE  (top-k),9,26,64,6,7
full MoE  (top-k),9,31,64,6,7
full MoE  (top-k),9,32,64,6,7
full MoE  (top-k),9,53,64,6,7
full MoE  (top-k),10,32,64,6,7
full MoE  (top-k),10,39,64,6,7
full MoE  (top-k),10,47,64,6,7
full MoE  (top-k),10,48,64,6,7
full MoE  (top-k),10,60,64,6,7
full MoE  (top-k),10,62,64,6,7
full MoE  (top-k),11,2,64,6,7
full MoE  (top-k),11,9,64,6,7
full MoE  (top-k),11,23,64,6,7
full MoE  (top-k),11,32,64,6,7
full MoE  (top-k),11,37,64,6,7
full MoE  (top-k),11,43,64,6,7
full MoE  (top-k),12,16,64,6,7
full MoE  (top-k),12,17,64,6,7
full MoE  (top-k),12,22,64,6,7
full MoE  (top-k),12,32,64,6,7
full MoE  (top-k),12,53,64,6,7
full MoE  (top-k),12,55,64,6,7
full MoE  (top-k),13,8,64,6,7
full MoE  (top-k),13,18,64,6,7
full MoE  (top-k),13,24,64,6,7
full MoE  (top-k),13,32,64,6,7
full MoE  (top-k),13,52,64,6,7
full MoE  (top-k),13,56,64,6,7
full MoE  (top-k),14,9,64,6,7
full MoE  (top-k),14,15,64,6,7
full MoE  (top-k),14,32,64,6,7
full MoE  (top-k),14,33,64,6,7
full MoE  (top-k),14,34,64,6,7
full MoE  (top-k),14,43,64,6,7
full MoE  (top-k),15,4,64,6,7
full MoE  (top-k),15,6,64,6,7
full MoE  (top-k),15,10,64,6,7
full MoE  (top-k),15,32,64,6,7
full MoE  (top-k),15,44,64,6,7
full MoE  (top-k),15,52,64,6,7
full MoE  (top-k),16,4,64,6,7
full MoE  (top-k),16,6,64,6,7
full MoE  (top-k),16,7,64,6,7
full MoE  (top-k),16,10,64,6,7
full MoE  (top-k),16,45,64,6,7
full MoE  (top-k),16,62,64,6,7
full MoE  (top-k),17,18,64,6,7
full MoE  (top-k),17,20,64,6,7
full MoE  (top-k),17,32,64,6,7
full MoE  (top-k),17,35,64,6,7
full MoE  (top-k),17,50,64,6,7
full MoE  (top-k),17,57,64,6,7
full MoE  (top-k),18,8,64,6,7
full MoE  (top-k),18,18,64,6,7
full MoE  (top-k),18,20,64,6,7
full MoE  (top-k),18,50,64,6,7
full MoE  (top-k),18,52,64,6,7
full MoE  (top-k),18,57,64,6,7
full MoE  (top-k),19,8,64,6,7
full MoE  (top-k),19,16,64,6,7
full MoE  (top-k),19,18,64,6,7
full MoE  (top-k),19,52,64,6,7
full MoE  (top-k),19,56,64,6,7
full MoE  (top-k),19,63,64,6,7
full MoE  (top-k),20,4,64,6,7
full MoE  (top-k),20,10,64,6,7
full MoE  (top-k),20,18,64,6,7
full MoE  (top-k),20,44,64,6,7
full MoE  (top-k),20,52,64,6,7
full MoE  (top-k),20,62,64,6,7
full MoE  (top-k),21,33,64,6,7
full MoE  (top-k),21,35,64,6,7
full MoE  (top-k),21,44,64,6,7
full MoE  (top-k),21,51,64,6,7
full MoE  (top-k),21,55,64,6,7
full MoE  (top-k),21,56,64,6,7
full MoE  (top-k),22,20,64,6,7
full MoE  (top-k),22,35,64,6,7
full MoE  (top-k),22,50,64,6,7
full MoE  (top-k),22,51,64,6,7
full MoE  (top-k),22,57,64,6,7
full MoE  (top-k),22,58,64,6,7
full MoE  (top-k),23,2,64,6,7
full MoE  (top-k),23,9,64,6,7
full MoE  (top-k),23,11,64,6,7
full MoE  (top-k),23,32,64,6,7
full MoE  (top-k),23,37,64,6,7
full MoE  (top-k),23,43,64,6,7
full MoE  (top-k),24,0,64,6,7
full MoE  (top-k),24,1,64,6,7
full MoE  (top-k),24,11,64,6,7
full MoE  (top-k),24,17,64,6,7
full MoE  (top-k),24,32,64,6,7
full MoE  (top-k),24,55,64,6,7
full MoE  (top-k),25,4,64,6,7
full MoE  (top-k),25,6,64,6,7
full MoE  (top-k),25,10,64,6,7
full MoE  (top-k),25,44,64,6,7
full MoE  (top-k),25,52,64,6,7
full MoE  (top-k),25,56,64,6,7
full MoE  (top-k),26,4,64,6,7
full MoE  (top-k),26,6,64,6,7
full MoE  (top-k),26,7,64,6,7
full MoE  (top-k),26,45,64,6,7
full MoE  (top-k),26,49,64,6,7
full MoE  (top-k),26,62,64,6,7
full MoE  (top-k),27,18,64,6,7
full MoE  (top-k),27,32,64,6,7
full MoE  (top-k),27,35,64,6,7
full MoE  (top-k),27,52,64,6,7
full MoE  (top-k),27,54,64,6,7
full MoE  (top-k),27,56,64,6,7
full MoE  (top-k),28,3,64,6,7
full MoE  (top-k),28,15,64,6,7
full MoE  (top-k),28,33,64,6,7
full MoE  (top-k),28,34,64,6,7
full MoE  (top-k),28,35,64,6,7
full MoE  (top-k),28,58,64,6,7
full MoE  (top-k),29,0,64,6,7
full MoE  (top-k),29,11,64,6,7
full MoE  (top-k),29,31,64,6,7
full MoE  (top-k),29,32,64,6,7
full MoE  (top-k),29,40,64,6,7
full MoE  (top-k),29,55,64,6,7
full MoE  (top-k),30,23,64,6,7
full MoE  (top-k),30,32,64,6,7
full MoE  (top-k),30,39,64,6,7
full MoE  (top-k),30,48,64,6,7
full MoE  (top-k),30,60,64,6,7
full MoE  (top-k),30,62,64,6,7
full MoE  (top-k),31,5,64,6,7
full MoE  (top-k),31,9,64,6,7
full MoE  (top-k),31,10,64,6,7
full MoE  (top-k),31,28,64,6,7
full MoE  (top-k),31,47,64,6,7
full MoE  (top-k),31,55,64,6,7
full MoE  (top-k),32,11,64,6,7
full MoE  (top-k),32,22,64,6,7
full MoE  (top-k),32,23,64,6,7
full MoE  (top-k),32,26,64,6,7
full MoE  (top-k),32,32,64,6,7
full MoE  (top-k),32,53,64,6,7
full MoE  (top-k),33,11,64,6,7
full MoE  (top-k),33,18,64,6,7
full MoE  (top-k),33,23,64,6,7
full MoE  (top-k),33,32,64,6,7
full MoE  (top-k),33,39,64,6,7
full MoE  (top-k),33,60,64,6,7
full MoE  (top-k),34,8,64,6,7
full MoE  (top-k),34,18,64,6,7
full MoE  (top-k),34,23,64,6,7
full MoE  (top-k),34,32,64,6,7
full MoE  (top-k),34,56,64,6,7
full MoE  (top-k),34,60,64,6,7
full MoE  (top-k),35,8,64,6,7
full MoE  (top-k),35,15,64,6,7
full MoE  (top-k),35,32,64,6,7
full MoE  (top-k),35,34,64,6,7
full MoE  (top-k),35,51,64,6,7
full MoE  (top-k),35,58,64,6,7
full MoE  (top-k),36,11,64,6,7
full MoE  (top-k),36,32,64,6,7
full MoE  (top-k),36,39,64,6,7
full MoE  (top-k),36,48,64,6,7
full MoE  (top-k),36,60,64,6,7
full MoE  (top-k),36,62,64,6,7
full MoE  (top-k),37,4,64,6,7
full MoE  (top-k),37,6,64,6,7
full MoE  (top-k),37,32,64,6,7
full MoE  (top-k),37,39,64,6,7
full MoE  (top-k),37,45,64,6,7
full MoE  (top-k),37,62,64,6,7
full MoE  (top-k),38,0,64,6,7
full MoE  (top-k),38,7,64,6,7
full MoE  (top-k),38,19,64,6,7
full MoE  (top-k),38,25,64,6,7
full MoE  (top-k),38,30,64,6,7
full MoE  (top-k),38,59,64,6,7
full MoE  (top-k),39,0,64,6,7
full MoE  (top-k),39,7,64,6,7
full MoE  (top-k),39,22,64,6,7
full MoE  (top-k),39,31,64,6,7
full MoE  (top-k),39,32,64,6,7
full MoE  (top-k),39,41,64,6,7
full MoE  (top-k),40,9,64,6,7
full MoE  (top-k),40,11,64,6,7
full MoE  (top-k),40,31,64,6,7
full MoE  (top-k),40,32,64,6,7
full MoE  (top-k),40,42,64,6,7
full MoE  (top-k),40,60,64,6,7
full MoE  (top-k),41,0,64,6,7
full MoE  (top-k),41,16,64,6,7
full MoE  (top-k),41,17,64,6,7
full MoE  (top-k),41,22,64,6,7
full MoE  (top-k),41,31,64,6,7
full MoE  (top-k),41,55,64,6,7
full MoE  (top-k),42,11,64,6,7
full MoE  (top-k),42,32,64,6,7
full MoE  (top-k),42,39,64,6,7
full MoE  (top-k),42,48,64,6,7
full MoE  (top-k),42,60,64,6,7
full MoE  (top-k),42,62,64,6,7
full MoE  (top-k),43,0,64,6,7
full MoE  (top-k),43,21,64,6,7
full MoE  (top-k),43,22,64,6,7
full MoE  (top-k),43,26,64,6,7
full MoE  (top-k),43,31,64,6,7
full MoE  (top-k),43,32,64,6,7
full MoE  (top-k),44,2,64,6,7
full MoE  (top-k),44,9,64,6,7
full MoE  (top-k),44,23,64,6,7
full MoE  (top-k),44,28,64,6,7
full MoE  (top-k),44,42,64,6,7
full MoE  (top-k),44,60,64,6,7
full MoE  (top-k),45,9,64,6,7
full MoE  (top-k),45,22,64,6,7
full MoE  (top-k),45,31,64,6,7
full MoE  (top-k),45,32,64,6,7
full MoE  (top-k),45,40,64,6,7
full MoE  (top-k),45,55,64,6,7
full MoE  (top-k),46,9,64,6,7
full MoE  (top-k),46,18,64,6,7
full MoE  (top-k),46,39,64,6,7
full MoE  (top-k),46,48,64,6,7
full MoE  (top-k),46,60,64,6,7
full MoE  (top-k),46,62,64,6,7
full MoE  (top-k),47,4,64,6,7
full MoE  (top-k),47,6,64,6,7
full MoE  (top-k),47,39,64,6,7
full MoE  (top-k),47,45,64,6,7
full MoE  (top-k),47,49,64,6,7
full MoE  (top-k),47,62,64,6,7
full MoE  (top-k),48,0,64,6,7
full MoE  (top-k),48,19,64,6,7
full MoE  (top-k),48,20,64,6,7
full MoE  (top-k),48,25,64,6,7
full MoE  (top-k),48,41,64,6,7
full MoE  (top-k),48,59,64,6,7
full MoE  (top-k),49,0,64,6,7
full MoE  (top-k),49,22,64,6,7
full MoE  (top-k),49,26,64,6,7
full MoE  (top-k),49,31,64,6,7
full MoE  (top-k),49,32,64,6,7
full MoE  (top-k),49,55,64,6,7
full MoE  (top-k),50,2,64,6,7
full MoE  (top-k),50,23,64,6,7
full MoE  (top-k),50,28,64,6,7
full MoE  (top-k),50,32,64,6,7
full MoE  (top-k),50,42,64,6,7
full MoE  (top-k),50,60,64,6,7
full MoE  (top-k),51,14,64,6,7
full MoE  (top-k),51,19,64,6,7
full MoE  (top-k),51,29,64,6,7
full MoE  (top-k),51,30,64,6,7
full MoE  (top-k),51,41,64,6,7
full MoE  (top-k),51,54,64,6,7
full MoE  (top-k),52,22,64,6,7
full MoE  (top-k),52,23,64,6,7
full MoE  (top-k),52,29,64,6,7
full MoE  (top-k),52,31,64,6,7
full MoE  (top-k),52,32,64,6,7
full MoE  (top-k),52,53,64,6,7
full MoE  (top-k),53,28,64,6,7
full MoE  (top-k),53,32,64,6,7
full MoE  (top-k),53,39,64,6,7
full MoE  (top-k),53,48,64,6,7
full MoE  (top-k),53,60,64,6,7
full MoE  (top-k),53,62,64,6,7
full MoE  (top-k),54,9,64,6,7
full MoE  (top-k),54,28,64,6,7
full MoE  (top-k),54,32,64,6,7
full MoE  (top-k),54,34,64,6,7
full MoE  (top-k),54,55,64,6,7
full MoE  (top-k),54,58,64,6,7
full MoE  (top-k),55,8,64,6,7
full MoE  (top-k),55,9,64,6,7
full MoE  (top-k),55,11,64,6,7
full MoE  (top-k),55,18,64,6,7
full MoE  (top-k),55,32,64,6,7
full MoE  (top-k),55,60,64,6,7
full MoE  (top-k),56,8,64,6,7
full MoE  (top-k),56,16,64,6,7
full MoE  (top-k),56,18,64,6,7
full MoE  (top-k),56,26,64,6,7
full MoE  (top-k),56,32,64,6,7
full MoE  (top-k),56,45,64,6,7
full MoE  (top-k),57,4,64,6,7
full MoE  (top-k),57,10,64,6,7
full MoE  (top-k),57,44,64,6,7
full MoE  (top-k),57,49,64,6,7
full MoE  (top-k),57,52,64,6,7
full MoE  (top-k),57,56,64,6,7
full MoE  (top-k),58,4,64,6,7
full MoE  (top-k),58,6,64,6,7
full MoE  (top-k),58,10,64,6,7
full MoE  (top-k),58,45,64,6,7
full MoE  (top-k),58,49,64,6,7
full MoE  (top-k),58,62,64,6,7
full MoE  (top-k),59,7,64,6,7
full MoE  (top-k),59,24,64,6,7
full MoE  (top-k),59,30,64,6,7
full MoE  (top-k),59,44,64,6,7
full MoE  (top-k),59,56,64,6,7
full MoE  (top-k),59,62,64,6,7
full MoE  (top-k),60,0,64,6,7
full MoE  (top-k),60,7,64,6,7
full MoE  (top-k),60,14,64,6,7
full MoE  (top-k),60,25,64,6,7
full MoE  (top-k),60,38,64,6,7
full MoE  (top-k),60,59,64,6,7
full MoE  (top-k),61,0,64,6,7
full MoE  (top-k),61,21,64,6,7
full MoE  (top-k),61,25,64,6,7
full MoE  (top-k),61,35,64,6,7
full MoE  (top-k),61,55,64,6,7
full MoE  (top-k),61,57,64,6,7
full MoE  (top-k),62,9,64,6,7
full MoE  (top-k),62,11,64,6,7
full MoE  (top-k),62,12,64,6,7
full MoE  (top-k),62,37,64,6,7
full MoE  (top-k),62,43,64,6,7
full MoE  (top-k),62,56,64,6,7
full MoE  (top-k),63,9,64,6,7
full MoE  (top-k),63,11,64,6,7
full MoE  (top-k),63,31,64,6,7
full MoE  (top-k),63,33,64,6,7
full MoE  (top-k),63,50,64,6,7
full MoE  (top-k),63,57,64,6,7
full MoE  (top-k),64,9,64,6,7
full MoE  (top-k),64,18,64,6,7
full MoE  (top-k),64,39,64,6,7
full MoE  (top-k),64,48,64,6,7
full MoE  (top-k),64,60,64,6,7
full MoE  (top-k),64,62,64,6,7
full MoE  (top-k),65,1,64,6,7
full MoE  (top-k),65,20,64,6,7
full MoE  (top-k),65,21,64,6,7
full MoE  (top-k),65,36,64,6,7
full MoE  (top-k),65,47,64,6,7
full MoE  (top-k),65,50,64,6,7
