label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s0_TEMPORAL,g3_tmoe_s0_1e16,2,0,769,0.574,0.609,0.035
s0_TEMPORAL,g3_tmoe_s0_1e16,2,1,5519,0.6181,0.8568,0.2387
s0_TEMPORAL,g3_tmoe_s0_1e16,2,2,916,0.5614,0.6926,0.1312
s0_TEMPORAL,g3_tmoe_s0_1e16,2,3,1398,0.7106,0.7113,0.0007
s0_TEMPORAL,g3_tmoe_s0_1e16,2,4,4617,0.6707,0.8051,0.1344
s0_TEMPORAL,g3_tmoe_s0_1e16,2,5,3556,0.5977,0.8947,0.297
s0_TEMPORAL,g3_tmoe_s0_1e16,2,6,3808,0.5889,0.6953,0.1064
s0_TEMPORAL,g3_tmoe_s0_1e16,2,7,485,0.6464,0.1669,-0.4795
s0_TEMPORAL,g3_tmoe_s0_1e16,2,8,1546,0.7078,0.7183,0.0105
s0_TEMPORAL,g3_tmoe_s0_1e16,2,10,3466,0.5872,0.7883,0.2011
s0_TEMPORAL,g3_tmoe_s0_1e16,2,11,1434,0.6509,0.6825,0.0316
s0_TEMPORAL,g3_tmoe_s0_1e16,2,12,4507,0.6121,0.8912,0.2791
s0_TEMPORAL,g3_tmoe_s0_1e16,2,15,1206,0.6875,0.7777,0.0902
s0_TEMPORAL,g3_tmoe_s0_1e16,2,16,2211,0.6098,0.7157,0.106
s0_TEMPORAL,g3_tmoe_s0_1e16,2,17,2864,0.5573,0.7433,0.1859
s0_TEMPORAL,g3_tmoe_s0_1e16,2,18,146,0.5698,0.4664,-0.1034
s0_TEMPORAL,g3_tmoe_s0_1e16,2,19,3316,0.5516,0.5989,0.0473
s0_TEMPORAL,g3_tmoe_s0_1e16,2,20,4747,0.5672,0.7616,0.1944
s0_TEMPORAL,g3_tmoe_s0_1e16,2,21,2202,0.6025,0.7344,0.132
s0_TEMPORAL,g3_tmoe_s0_1e16,2,23,5997,0.6435,0.6655,0.0219
s0_TEMPORAL,g3_tmoe_s0_1e16,2,26,1998,0.6812,0.6672,-0.014
s0_TEMPORAL,g3_tmoe_s0_1e16,2,27,308,0.5772,0.8428,0.2656
s0_TEMPORAL,g3_tmoe_s0_1e16,2,28,168,nan,nan,nan
s0_TEMPORAL,g3_tmoe_s0_1e16,2,29,174,0.5857,0.7677,0.182
s0_TEMPORAL,g3_tmoe_s0_1e16,2,30,2751,0.5625,0.7726,0.2102
