label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s0_TEMPORAL,g3_tmoe_s0_1e16,2,0,769,0.574,0.6146,0.0406
s0_TEMPORAL,g3_tmoe_s0_1e16,2,1,5519,0.6181,0.8552,0.2371
s0_TEMPORAL,g3_tmoe_s0_1e16,2,2,916,0.5614,0.6426,0.0811
s0_TEMPORAL,g3_tmoe_s0_1e16,2,3,1398,0.7106,0.7519,0.0413
s0_TEMPORAL,g3_tmoe_s0_1e16,2,4,4617,0.6707,0.7967,0.126
s0_TEMPORAL,g3_tmoe_s0_1e16,2,5,3556,0.5977,0.8586,0.2609
s0_TEMPORAL,g3_tmoe_s0_1e16,2,6,3808,0.5889,0.7007,0.1118
s0_TEMPORAL,g3_tmoe_s0_1e16,2,7,485,0.6464,0.1765,-0.4698
s0_TEMPORAL,g3_tmoe_s0_1e16,2,8,1546,0.7078,0.7411,0.0333
s0_TEMPORAL,g3_tmoe_s0_1e16,2,10,3466,0.5872,0.7699,0.1827
s0_TEMPORAL,g3_tmoe_s0_1e16,2,11,1434,0.6509,0.7161,0.0652
s0_TEMPORAL,g3_tmoe_s0_1e16,2,12,4507,0.6121,0.8792,0.267
s0_TEMPORAL,g3_tmoe_s0_1e16,2,15,1206,0.6875,0.8026,0.1151
s0_TEMPORAL,g3_tmoe_s0_1e16,2,16,2211,0.6098,0.7321,0.1223
s0_TEMPORAL,g3_tmoe_s0_1e16,2,17,2864,0.5573,0.7273,0.17
s0_TEMPORAL,g3_tmoe_s0_1e16,2,18,146,0.5698,0.5448,-0.025
s0_TEMPORAL,g3_tmoe_s0_1e16,2,19,3316,0.5516,0.5916,0.04
s0_TEMPORAL,g3_tmoe_s0_1e16,2,20,4747,0.5672,0.7311,0.1639
s0_TEMPORAL,g3_tmoe_s0_1e16,2,21,2202,0.6025,0.7471,0.1446
s0_TEMPORAL,g3_tmoe_s0_1e16,2,23,5997,0.6435,0.6844,0.0409
s0_TEMPORAL,g3_tmoe_s0_1e16,2,26,1998,0.6812,0.6995,0.0183
s0_TEMPORAL,g3_tmoe_s0_1e16,2,27,308,0.5772,0.8026,0.2255
s0_TEMPORAL,g3_tmoe_s0_1e16,2,28,168,nan,nan,nan
s0_TEMPORAL,g3_tmoe_s0_1e16,2,29,174,0.5857,0.6778,0.0921
s0_TEMPORAL,g3_tmoe_s0_1e16,2,30,2751,0.5625,0.7501,0.1877
s0_TEMPORAL,g3_tmoe_s0_1e16,2,31,71,0.2657,0.9346,0.6689
s0_TEMPORAL,g3_tmoe_s0_1e16,2,32,4274,0.5723,0.6852,0.1128
s0_TEMPORAL,g3_tmoe_s0_1e16,2,33,3275,0.6503,0.7628,0.1125
s0_TEMPORAL,g3_tmoe_s0_1e16,2,34,340,0.5722,0.7359,0.1637
s0_TEMPORAL,g3_tmoe_s0_1e16,2,35,1881,0.747,0.8403,0.0933
s0_TEMPORAL,g3_tmoe_s0_1e16,2,36,470,0.545,0.71,0.165
s0_TEMPORAL,g3_tmoe_s0_1e16,2,37,134,0.5116,0.6198,0.1082
s0_TEMPORAL,g3_tmoe_s0_1e16,2,38,230,0.5391,0.3852,-0.1538
s0_TEMPORAL,g3_tmoe_s0_1e16,2,39,2108,0.697,0.8342,0.1372
s0_TEMPORAL,g3_tmoe_s0_1e16,2,40,1079,0.5908,0.8321,0.2412
s0_TEMPORAL,g3_tmoe_s0_1e16,2,41,1665,0.7164,0.7309,0.0145
s0_TEMPORAL,g3_tmoe_s0_1e16,2,43,112,0.8893,0.8612,-0.0282
s0_TEMPORAL,g3_tmoe_s0_1e16,2,44,2624,0.6558,0.8534,0.1976
s0_TEMPORAL,g3_tmoe_s0_1e16,2,45,11585,0.5775,0.6779,0.1004
s0_TEMPORAL,g3_tmoe_s0_1e16,2,46,1013,0.5302,0.5312,0.001
s0_TEMPORAL,g3_tmoe_s0_1e16,2,47,5251,0.5785,0.7319,0.1533
