label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s0_TEMPORAL,g3_tmoe_s0_1e16,2,0,769,0.574,0.6242,0.0502
s0_TEMPORAL,g3_tmoe_s0_1e16,2,1,5519,0.6181,0.8287,0.2106
s0_TEMPORAL,g3_tmoe_s0_1e16,2,2,916,0.5614,0.5999,0.0384
s0_TEMPORAL,g3_tmoe_s0_1e16,2,3,1398,0.7106,0.7932,0.0826
s0_TEMPORAL,g3_tmoe_s0_1e16,2,4,4617,0.6707,0.7789,0.1082
s0_TEMPORAL,g3_tmoe_s0_1e16,2,5,3556,0.5977,0.8111,0.2134
s0_TEMPORAL,g3_tmoe_s0_1e16,2,6,3808,0.5889,0.6856,0.0967
s0_TEMPORAL,g3_tmoe_s0_1e16,2,7,485,0.6464,0.3536,-0.2928
s0_TEMPORAL,g3_tmoe_s0_1e16,2,8,1546,0.7078,0.7564,0.0486
s0_TEMPORAL,g3_tmoe_s0_1e16,2,10,3466,0.5872,0.7393,0.1521
s0_TEMPORAL,g3_tmoe_s0_1e16,2,11,1434,0.6509,0.7619,0.111
s0_TEMPORAL,g3_tmoe_s0_1e16,2,12,4507,0.6121,0.8495,0.2374
s0_TEMPORAL,g3_tmoe_s0_1e16,2,15,1206,0.6875,0.8135,0.126
s0_TEMPORAL,g3_tmoe_s0_1e16,2,16,2211,0.6098,0.721,0.1112
s0_TEMPORAL,g3_tmoe_s0_1e16,2,17,2864,0.5573,0.6969,0.1395
s0_TEMPORAL,g3_tmoe_s0_1e16,2,18,146,0.5698,0.6236,0.0538
s0_TEMPORAL,g3_tmoe_s0_1e16,2,19,3316,0.5516,0.582,0.0304
s0_TEMPORAL,g3_tmoe_s0_1e16,2,20,4747,0.5672,0.6812,0.114
s0_TEMPORAL,g3_tmoe_s0_1e16,2,21,2202,0.6025,0.7413,0.1388
s0_TEMPORAL,g3_tmoe_s0_1e16,2,23,5997,0.6435,0.7018,0.0583
s0_TEMPORAL,g3_tmoe_s0_1e16,2,26,1998,0.6812,0.7491,0.0679
s0_TEMPORAL,g3_tmoe_s0_1e16,2,27,308,0.5772,0.8108,0.2336
s0_TEMPORAL,g3_tmoe_s0_1e16,2,28,168,nan,nan,nan
s0_TEMPORAL,g3_tmoe_s0_1e16,2,29,174,0.5857,0.7893,0.2036
s0_TEMPORAL,g3_tmoe_s0_1e16,2,30,2751,0.5625,0.714,0.1516
s0_TEMPORAL,g3_tmoe_s0_1e16,2,31,71,0.2657,0.7525,0.4868
s0_TEMPORAL,g3_tmoe_s0_1e16,2,32,4274,0.5723,0.6703,0.098
s0_TEMPORAL,g3_tmoe_s0_1e16,2,33,3275,0.6503,0.766,0.1157
s0_TEMPORAL,g3_tmoe_s0_1e16,2,34,340,0.5722,0.6808,0.1086
s0_TEMPORAL,g3_tmoe_s0_1e16,2,35,1881,0.747,0.8737,0.1268
s0_TEMPORAL,g3_tmoe_s0_1e16,2,36,470,0.545,0.7129,0.168
s0_TEMPORAL,g3_tmoe_s0_1e16,2,37,134,0.5116,0.5395,0.028
s0_TEMPORAL,g3_tmoe_s0_1e16,2,38,230,0.5391,0.4306,-0.1085
s0_TEMPORAL,g3_tmoe_s0_1e16,2,39,2108,0.697,0.8322,0.1353
s0_TEMPORAL,g3_tmoe_s0_1e16,2,40,1079,0.5908,0.799,0.2081
s0_TEMPORAL,g3_tmoe_s0_1e16,2,41,1665,0.7164,0.7662,0.0498
s0_TEMPORAL,g3_tmoe_s0_1e16,2,43,112,0.8893,0.6392,-0.2501
s0_TEMPORAL,g3_tmoe_s0_1e16,2,44,2624,0.6558,0.8274,0.1717
s0_TEMPORAL,g3_tmoe_s0_1e16,2,45,11585,0.5775,0.663,0.0855
s0_TEMPORAL,g3_tmoe_s0_1e16,2,46,1013,0.5302,0.5704,0.0402
s0_TEMPORAL,g3_tmoe_s0_1e16,2,47,5251,0.5785,0.7022,0.1237
s0_TEMPORAL,g3_tmoe_s0_1e16,2,48,2891,0.5949,0.7995,0.2046
s0_TEMPORAL,g3_tmoe_s0_1e16,2,49,1407,0.6298,0.8404,0.2106
s0_TEMPORAL,g3_tmoe_s0_1e16,2,50,1666,0.6141,0.8167,0.2027
s0_TEMPORAL,g3_tmoe_s0_1e16,2,51,14675,0.5982,0.7306,0.1324
s0_TEMPORAL,g3_tmoe_s0_1e16,2,53,7034,0.7024,0.7341,0.0317
s0_TEMPORAL,g3_tmoe_s0_1e16,2,54,2797,0.5969,0.717,0.12
s0_TEMPORAL,g3_tmoe_s0_1e16,2,55,5658,0.6772,0.7866,0.1094
s0_TEMPORAL,g3_tmoe_s0_1e16,2,56,4019,0.7086,0.7518,0.0433
s0_TEMPORAL,g3_tmoe_s0_1e16,2,57,4575,0.6605,0.8426,0.1821
s0_TEMPORAL,g3_tmoe_s0_1e16,2,58,100,nan,nan,nan
s0_TEMPORAL,g3_tmoe_s0_1e16,2,59,2755,0.7091,0.7937,0.0846
s0_TEMPORAL,g3_tmoe_s0_1e16,2,60,698,0.485,0.5048,0.0198
s0_TEMPORAL,g3_tmoe_s0_1e16,2,61,6980,0.58,0.6949,0.1149
s0_TEMPORAL,g3_tmoe_s0_1e16,2,62,52,0.3242,0.6638,0.3396
s0_TEMPORAL,g3_tmoe_s0_1e16,2,63,607,0.7747,0.8139,0.0392
s0_TEMPORAL,g3_tmoe_s0_1e16,2,65,3993,0.6437,0.7577,0.114
s0_TEMPORAL,g3_tmoe_s0_1e16,2,66,21212,0.5505,0.5978,0.0473
s0_TEMPORAL,g3_tmoe_s0_1e16,2,67,654,0.7014,0.8948,0.1934
s0_TEMPORAL,g3_tmoe_s0_1e16,2,69,21049,0.5392,0.5794,0.0402
s0_TEMPORAL,g3_tmoe_s0_1e16,2,70,3388,0.6569,0.8911,0.2342
s0_TEMPORAL,g3_tmoe_s0_1e16,2,71,2324,0.5969,0.7252,0.1283
s0_TEMPORAL,g3_tmoe_s0_1e16,2,72,13388,0.6743,0.7852,0.1109
s0_TEMPORAL,g3_tmoe_s0_1e16,2,74,3520,0.7282,0.7191,-0.0091
s0_TEMPORAL,g3_tmoe_s0_1e16,2,75,2944,0.6152,0.7359,0.1207
s0_TEMPORAL,g3_tmoe_s0_1e16,2,76,1697,0.6025,0.7599,0.1573
s0_TEMPORAL,g3_tmoe_s0_1e16,2,77,2352,0.5926,0.7266,0.134
s0_TEMPORAL,g3_tmoe_s0_1e16,2,78,3177,0.6369,0.8173,0.1804
s0_TEMPORAL,g3_tmoe_s0_1e16,2,79,5212,0.6295,0.7475,0.118
s0_TEMPORAL,g3_tmoe_s0_1e16,2,80,6357,0.6575,0.832,0.1745
s0_TEMPORAL,g3_tmoe_s0_1e16,2,81,96,0.7518,0.7592,0.0074
s0_TEMPORAL,g3_tmoe_s0_1e16,2,82,4436,0.5955,0.7376,0.1421
s0_TEMPORAL,g3_tmoe_s0_1e16,2,83,3920,0.5741,0.7344,0.1603
s0_TEMPORAL,g3_tmoe_s0_1e16,2,84,2785,0.6618,0.8586,0.1969
s0_TEMPORAL,g3_tmoe_s0_1e16,2,86,9224,0.6276,0.7888,0.1612
s0_TEMPORAL,g3_tmoe_s0_1e16,2,87,142,0.6344,0.7175,0.0831
s0_TEMPORAL,g3_tmoe_s0_1e16,2,88,5018,0.7096,0.857,0.1473
s0_TEMPORAL,g3_tmoe_s0_1e16,2,89,150,0.7918,0.4642,-0.3275
s0_TEMPORAL,g3_tmoe_s0_1e16,2,90,7687,0.5858,0.7239,0.1381
s0_TEMPORAL,g3_tmoe_s0_1e16,2,91,2998,0.6389,0.8072,0.1683
s0_TEMPORAL,g3_tmoe_s0_1e16,2,93,2501,0.6311,0.8604,0.2292
s0_TEMPORAL,g3_tmoe_s0_1e16,2,94,1162,0.7171,0.8412,0.1241
s0_TEMPORAL,g3_tmoe_s0_1e16,2,95,1721,0.5833,0.6886,0.1053
s0_TEMPORAL,g3_tmoe_s0_1e16,2,96,2357,0.6039,0.7102,0.1062
s0_TEMPORAL,g3_tmoe_s0_1e16,2,97,1534,0.7014,0.8041,0.1027
s0_TEMPORAL,g3_tmoe_s0_1e16,2,98,12088,0.5786,0.7151,0.1365
s0_TEMPORAL,g3_tmoe_s0_1e16,2,99,6731,0.6079,0.7335,0.1256
s0_TEMPORAL,g3_tmoe_s0_1e16,2,100,4830,0.5855,0.6775,0.092
s0_TEMPORAL,g3_tmoe_s0_1e16,2,101,260,0.5391,0.8337,0.2947
s0_TEMPORAL,g3_tmoe_s0_1e16,2,102,7513,0.6401,0.8062,0.1661
s0_TEMPORAL,g3_tmoe_s0_1e16,2,103,3396,0.586,0.7314,0.1454
s0_TEMPORAL,g3_tmoe_s0_1e16,2,104,1114,0.6247,0.8121,0.1874
s0_TEMPORAL,g3_tmoe_s0_1e16,2,105,3788,0.7118,0.8229,0.1111
s0_TEMPORAL,g3_tmoe_s0_1e16,2,106,4324,0.6464,0.7807,0.1343
s0_TEMPORAL,g3_tmoe_s0_1e16,2,107,9939,0.596,0.7156,0.1196
s0_TEMPORAL,g3_tmoe_s0_1e16,2,108,1046,0.6502,0.7993,0.1491
s0_TEMPORAL,g3_tmoe_s0_1e16,2,109,271,0.5798,0.6802,0.1004
s0_TEMPORAL,g3_tmoe_s0_1e16,2,110,6785,0.7927,0.8117,0.019
s0_TEMPORAL,g3_tmoe_s0_1e16,2,111,1231,0.5047,0.4387,-0.0661
s0_TEMPORAL,g3_tmoe_s0_1e16,2,112,7509,0.6135,0.8137,0.2002
s0_TEMPORAL,g3_tmoe_s0_1e16,2,113,4521,0.6139,0.7464,0.1325
s0_TEMPORAL,g3_tmoe_s0_1e16,2,114,1240,0.5725,0.7009,0.1284
s0_TEMPORAL,g3_tmoe_s0_1e16,2,115,93,0.638,0.7166,0.0786
s0_TEMPORAL,g3_tmoe_s0_1e16,2,116,182,0.6289,0.7334,0.1045
s0_TEMPORAL,g3_tmoe_s0_1e16,2,117,5759,0.5802,0.6829,0.1027
s0_TEMPORAL,g3_tmoe_s0_1e16,2,118,2910,0.6772,0.8796,0.2024
s0_TEMPORAL,g3_tmoe_s0_1e16,2,119,743,0.5901,0.7822,0.1921
s0_TEMPORAL,g3_tmoe_s0_1e16,2,120,2331,0.6423,0.8249,0.1826
s0_TEMPORAL,g3_tmoe_s0_1e16,2,121,10697,0.5509,0.5707,0.0198
s0_TEMPORAL,g3_tmoe_s0_1e16,2,123,4145,0.559,0.7211,0.1621
s0_TEMPORAL,g3_tmoe_s0_1e16,2,124,1134,0.6283,0.8375,0.2092
