label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,0,605,0.7007,0.6371,-0.0636
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,1,983,0.5737,0.8139,0.2402
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,2,667,0.5597,0.5554,-0.0043
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,3,882,0.6122,0.509,-0.1032
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,4,560,0.611,0.5651,-0.0458
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,5,793,0.5784,0.6198,0.0414
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,6,754,0.5424,0.6198,0.0774
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,7,919,0.5766,0.577,0.0004
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,8,680,0.6365,0.5706,-0.0658
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,9,1273,0.5176,0.6772,0.1596
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,10,765,0.5484,0.5795,0.0311
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,11,643,0.5958,0.5276,-0.0682
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,12,665,0.5978,0.6362,0.0384
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,13,1029,0.5133,0.6879,0.1746
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,14,707,0.601,0.6317,0.0308
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,15,798,0.6261,0.7709,0.1448
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,16,814,0.6093,0.7371,0.1278
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,17,714,0.5909,0.6069,0.0161
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,18,705,0.6188,0.6412,0.0224
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,19,713,0.7152,0.5705,-0.1447
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,20,805,0.6205,0.632,0.0114
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,21,728,0.5913,0.5529,-0.0384
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,22,685,0.5129,0.5781,0.0652
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,23,465,0.6505,0.6319,-0.0185
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,24,779,0.6802,0.5279,-0.1523
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,25,538,0.522,0.6518,0.1298
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,26,659,0.6161,0.6656,0.0496
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,27,595,0.5445,0.6352,0.0907
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,28,490,0.6151,0.5741,-0.0409
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,29,1236,0.5369,0.6899,0.153
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,30,952,0.5806,0.6254,0.0448
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,31,511,0.6006,0.5726,-0.028
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,32,731,0.5601,0.5539,-0.0061
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,33,589,0.6373,0.5234,-0.1139
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,34,974,0.5806,0.5544,-0.0262
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,35,872,0.5664,0.5358,-0.0306
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,36,767,0.543,0.5504,0.0074
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,37,753,0.5554,0.6136,0.0582
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,38,906,0.6003,0.6134,0.0131
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,39,675,0.5447,0.5528,0.0081
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,40,755,0.6286,0.6042,-0.0245
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,41,802,0.5395,0.7055,0.166
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,42,574,0.6049,0.7013,0.0965
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,43,689,0.6105,0.5344,-0.0761
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,44,780,0.5504,0.5458,-0.0045
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,45,557,0.579,0.6591,0.0801
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,46,728,0.5422,0.6207,0.0785
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,47,566,0.5828,0.5584,-0.0244
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,48,627,0.7029,0.6408,-0.062
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,49,898,0.5421,0.5403,-0.0018
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,50,639,0.664,0.5594,-0.1046
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,51,539,0.57,0.7719,0.2018
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,52,692,0.6189,0.5578,-0.0611
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,53,792,0.6198,0.6219,0.002
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,54,404,0.5263,0.4831,-0.0432
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,55,701,0.8371,0.537,-0.3001
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,56,625,0.6244,0.5131,-0.1113
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,57,657,0.6285,0.5956,-0.0329
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,58,749,0.5721,0.5167,-0.0554
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,59,687,0.5697,0.5347,-0.035
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,60,776,0.6196,0.5403,-0.0792
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,61,1178,0.5993,0.6262,0.0269
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,62,615,0.5574,0.5925,0.0351
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,2,63,823,0.5885,0.516,-0.0726
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,0,472,0.6147,0.6287,0.0141
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,1,1075,0.5168,0.6167,0.0998
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,2,984,0.5755,0.6192,0.0436
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,3,771,0.4648,0.3048,-0.16
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,4,602,0.6012,0.5406,-0.0606
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,5,709,0.5388,0.5737,0.0349
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,6,735,0.5864,0.5191,-0.0672
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,7,720,0.6062,0.6456,0.0394
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,8,785,0.552,0.5799,0.028
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,9,702,0.6028,0.6239,0.0211
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,10,646,0.5588,0.581,0.0222
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,11,586,0.5834,0.5489,-0.0345
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,12,696,0.4888,0.6751,0.1863
