label,run,layer,expert,eff_vocab,semantic_dispersion
s0_TEMPORAL,g3_tmoe_s0_1e16,1,0,15991.86,0.8897
s0_TEMPORAL,g3_tmoe_s0_1e16,1,1,15983.77,0.9321
s0_TEMPORAL,g3_tmoe_s0_1e16,1,2,15990.78,0.8603
s0_TEMPORAL,g3_tmoe_s0_1e16,1,3,15986.19,0.8992
s0_TEMPORAL,g3_tmoe_s0_1e16,1,4,15989.41,0.9046
s0_TEMPORAL,g3_tmoe_s0_1e16,1,5,15991.91,0.9096
s0_TEMPORAL,g3_tmoe_s0_1e16,1,6,15997.4,0.925
s0_TEMPORAL,g3_tmoe_s0_1e16,1,7,15996.24,0.8758
s0_TEMPORAL,g3_tmoe_s0_1e16,1,8,15986.56,0.8941
s0_TEMPORAL,g3_tmoe_s0_1e16,1,9,15995.84,0.9261
s0_TEMPORAL,g3_tmoe_s0_1e16,1,10,15990.63,0.884
s0_TEMPORAL,g3_tmoe_s0_1e16,1,11,15984.21,0.8938
s0_TEMPORAL,g3_tmoe_s0_1e16,1,12,15988.95,0.8835
s0_TEMPORAL,g3_tmoe_s0_1e16,1,13,15995.63,0.8809
s0_TEMPORAL,g3_tmoe_s0_1e16,1,14,15996.09,0.8626
s0_TEMPORAL,g3_tmoe_s0_1e16,1,15,15992.81,0.9215
s0_TEMPORAL,g3_tmoe_s0_1e16,1,16,15993.22,0.8813
s0_TEMPORAL,g3_tmoe_s0_1e16,1,17,15988.42,0.7849
s0_TEMPORAL,g3_tmoe_s0_1e16,1,18,15988.8,0.8519
s0_TEMPORAL,g3_tmoe_s0_1e16,1,19,15993.97,0.8922
s0_TEMPORAL,g3_tmoe_s0_1e16,1,20,15997.48,0.9098
s0_TEMPORAL,g3_tmoe_s0_1e16,1,21,15986.5,0.903
s0_TEMPORAL,g3_tmoe_s0_1e16,1,22,15997.19,0.8913
s0_TEMPORAL,g3_tmoe_s0_1e16,1,23,15988.31,0.9012
s0_TEMPORAL,g3_tmoe_s0_1e16,1,24,15988.86,0.8762
s0_TEMPORAL,g3_tmoe_s0_1e16,1,25,15996.73,0.9006
s0_TEMPORAL,g3_tmoe_s0_1e16,1,26,15993.74,0.9156
s0_TEMPORAL,g3_tmoe_s0_1e16,1,27,15990.34,0.8733
s0_TEMPORAL,g3_tmoe_s0_1e16,1,28,15995.31,0.8751
s0_TEMPORAL,g3_tmoe_s0_1e16,1,29,15979.7,0.8921
s0_TEMPORAL,g3_tmoe_s0_1e16,1,30,15991.65,0.792
s0_TEMPORAL,g3_tmoe_s0_1e16,1,31,15995.6,0.8733
s0_TEMPORAL,g3_tmoe_s0_1e16,1,32,15989.76,0.9031
s0_TEMPORAL,g3_tmoe_s0_1e16,1,33,15992.23,0.8875
s0_TEMPORAL,g3_tmoe_s0_1e16,1,34,15989.36,0.8891
s0_TEMPORAL,g3_tmoe_s0_1e16,1,35,15983.86,0.9204
s0_TEMPORAL,g3_tmoe_s0_1e16,1,36,15994.03,0.8745
s0_TEMPORAL,g3_tmoe_s0_1e16,1,37,15991.33,0.9252
s0_TEMPORAL,g3_tmoe_s0_1e16,1,38,15995.26,0.8735
