label,run,layer,expert,variant,n_tokens,eff_vocab,dispersion
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,0,weighted,11249,15580.8,0.8337
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,0,static,11249,15967.4,0.8537
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,1,weighted,11579,15301.2,0.9351
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,1,static,11579,15959.7,0.8335
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,2,weighted,10489,15205.9,0.9252
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,2,static,10489,15983.8,0.9247
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,3,weighted,10708,15510.1,0.9392
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,3,static,10708,15977.2,0.9253
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,4,weighted,13562,15416.2,0.9077
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,4,static,13562,15972.7,0.8848
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,5,weighted,14789,15264.7,0.8858
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,5,static,14789,15980.8,0.93
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,6,weighted,11802,15462.7,0.9147
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,6,static,11802,15986.6,0.894
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,7,weighted,11521,15377.2,0.9114
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,7,static,11521,15982.2,0.8505
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,8,weighted,13632,15728.9,0.8875
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,8,static,13632,15988.1,0.9094
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,9,weighted,12101,15285.3,0.9253
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,9,static,12101,15985.3,0.9068
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,10,weighted,12840,15458.7,0.9041
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,10,static,12840,15989.4,0.9463
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,11,weighted,12211,15358.1,0.9284
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,11,static,12211,15982.4,0.8856
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,12,weighted,12679,15295.8,0.9305
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,12,static,12679,15987.4,0.9307
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,13,weighted,13296,15101.4,0.8529
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,13,static,13296,15991.7,0.8753
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,14,weighted,11902,15308.7,0.8856
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,14,static,11902,15990.7,0.8948
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,15,weighted,13380,14615.3,0.9315
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,15,static,13380,15988.4,0.9098
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,16,weighted,10859,15524.2,0.8884
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,16,static,10859,15979.5,0.9043
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,17,weighted,12279,15445.9,0.9045
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,17,static,12279,15987.7,0.8898
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,18,weighted,11794,15299.9,0.9442
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,18,static,11794,15978.2,0.885
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,19,weighted,11776,15478.9,0.9287
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,19,static,11776,15988.2,0.9418
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,20,weighted,11981,15257.2,0.9019
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,20,static,11981,15975.4,0.9076
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,21,weighted,12821,15446.7,0.8865
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,21,static,12821,15982.9,0.8607
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,22,weighted,11726,15242.0,0.9496
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,22,static,11726,15965.7,0.9062
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,23,weighted,11087,15627.5,0.904
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,23,static,11087,15978.7,0.899
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,24,weighted,11969,15379.5,0.9251
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,24,static,11969,15983.3,0.9074
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,25,weighted,12413,15413.0,0.9453
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,25,static,12413,15984.4,0.9096
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,26,weighted,12217,14652.3,0.8943
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,26,static,12217,15990.7,0.8812
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,27,weighted,11286,15225.8,0.9454
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,27,static,11286,15987.0,0.8872
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,28,weighted,12267,15094.0,0.9082
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,28,static,12267,15992.7,0.9032
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,29,weighted,11695,14922.8,0.9347
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,29,static,11695,15981.7,0.9
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,30,weighted,13238,14841.5,0.9446
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,30,static,13238,15967.3,0.9422
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,31,weighted,13437,14838.5,0.9438
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,31,static,13437,15961.8,0.862
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,32,weighted,13515,15641.2,0.917
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,32,static,13515,15986.9,0.8994
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,33,weighted,11644,15410.6,0.9306
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,33,static,11644,15987.2,0.9207
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,34,weighted,11536,15669.7,0.9412
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,34,static,11536,15977.5,0.9121
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,35,weighted,10790,15394.9,0.8684
