label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,0,2653,0.9361,0.6558,-0.2803
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,1,2786,0.9192,0.5794,-0.3399
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,2,2531,0.8705,0.6088,-0.2617
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,3,2607,0.8844,0.6533,-0.231
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,4,3290,0.9612,0.6212,-0.3399
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,5,3581,0.9365,0.6192,-0.3173
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,6,2777,0.9431,0.5758,-0.3673
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,7,2716,0.9383,0.6499,-0.2884
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,8,3251,0.9607,0.6948,-0.2659
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,9,2924,0.9601,0.6533,-0.3068
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,10,3117,0.9463,0.6263,-0.3199
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,11,2910,0.9636,0.6071,-0.3565
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,12,3037,0.9112,0.6346,-0.2766
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,13,3201,0.981,0.68,-0.3011
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,14,2876,0.9161,0.6085,-0.3076
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,15,3219,0.9481,0.6069,-0.3412
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,16,2588,0.9314,0.5751,-0.3563
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,17,2966,0.9478,0.6182,-0.3296
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,18,2825,0.9588,0.6434,-0.3154
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,19,2852,0.9727,0.5767,-0.396
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,20,2880,0.9755,0.6113,-0.3642
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,21,3034,0.9692,0.6451,-0.3242
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,22,2813,0.9928,0.6095,-0.3833
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,23,2736,0.8792,0.7415,-0.1377
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,24,2865,0.9125,0.5955,-0.317
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,25,3010,0.953,0.6644,-0.2886
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,26,2918,0.908,0.7505,-0.1576
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,27,2706,0.9361,0.6391,-0.2969
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,28,3009,0.9463,0.6504,-0.2958
