run,k,baseline_a3_pct,horizon,oracle_a3_pct,delta_pct,oracle_eff,oracle_maxres_pct,oracle_union
g3_tmoe_s0_1e16,18,29.57,next-token,21.52,-8.05,157.15,41.05,77.88
g3_tmoe_s0_1e16,18,29.57,disc-g0.5,48.22,18.65,178.31,19.4,180.47
g3_tmoe_s0_1e16,18,29.57,disc-g0.75,50.38,20.8,177.42,19.59,179.55
g3_tmoe_s0_1e16,18,29.57,disc-g0.875,50.18,20.61,175.94,20.29,176.91
g3_tmoe_s0_1e16,18,29.57,win-2,35.08,5.51,135.26,68.88,163.72
g3_tmoe_s0_1e16,18,29.57,win-4,44.63,15.06,158.56,64.2,176.0
g3_tmoe_s0_1e16,18,29.57,win-8,48.08,18.51,177.33,19.58,176.49
g3_tmoe_s0_1e16,18,29.57,win-16,42.42,12.85,176.3,20.2,173.4
g3_tmoe_s0_1e16_seed3,18,28.65,next-token,22.7,-5.95,151.1,47.12,77.33
g3_tmoe_s0_1e16_seed3,18,28.65,disc-g0.5,47.2,18.55,175.86,27.42,176.71
g3_tmoe_s0_1e16_seed3,18,28.65,disc-g0.75,49.32,20.67,175.21,25.4,175.0
g3_tmoe_s0_1e16_seed3,18,28.65,disc-g0.875,49.24,20.59,173.95,26.2,171.89
g3_tmoe_s0_1e16_seed3,18,28.65,win-2,34.57,5.92,131.64,72.39,160.75
g3_tmoe_s0_1e16_seed3,18,28.65,win-4,43.51,14.86,155.41,72.85,172.31
g3_tmoe_s0_1e16_seed3,18,28.65,win-8,47.08,18.43,175.04,23.43,172.22
g3_tmoe_s0_1e16_seed3,18,28.65,win-16,41.66,13.01,174.23,24.09,168.26
g3_tmoe_s0_1e16_momr_seed2,18,28.75,next-token,21.84,-6.91,151.57,45.31,76.66
g3_tmoe_s0_1e16_momr_seed2,18,28.75,disc-g0.5,47.22,18.47,176.34,34.29,179.6
g3_tmoe_s0_1e16_momr_seed2,18,28.75,disc-g0.75,49.34,20.59,175.81,34.6,178.71
g3_tmoe_s0_1e16_momr_seed2,18,28.75,disc-g0.875,49.24,20.49,174.52,35.99,175.66
g3_tmoe_s0_1e16_momr_seed2,18,28.75,win-2,34.59,5.84,134.1,73.29,162.65
g3_tmoe_s0_1e16_momr_seed2,18,28.75,win-4,43.65,14.91,154.43,79.78,174.48
g3_tmoe_s0_1e16_momr_seed2,18,28.75,win-8,47.06,18.31,175.86,31.94,175.19
g3_tmoe_s0_1e16_momr_seed2,18,28.75,win-16,41.68,12.93,175.01,33.25,172.0
g3_tmoe_s1_1e17,18,34.72,next-token,23.5,-11.22,87.34,100.0,79.48
g3_tmoe_s1_1e17,18,34.72,disc-g0.5,52.72,18.0,172.91,43.3,173.89
g3_tmoe_s1_1e17,18,34.72,disc-g0.75,54.87,20.15,172.3,43.88,173.11
g3_tmoe_s1_1e17,18,34.72,disc-g0.875,54.12,19.4,170.3,45.54,170.77
g3_tmoe_s1_1e17,18,34.72,win-2,39.55,4.83,140.63,78.56,157.12
g3_tmoe_s1_1e17,18,34.72,win-4,49.54,14.82,160.88,51.93,171.0
g3_tmoe_s1_1e17,18,34.72,win-8,52.29,17.56,172.82,41.52,171.16
g3_tmoe_s1_1e17,18,34.72,win-16,45.93,11.21,170.75,44.07,166.56
