R,re,loc,swaps_per_tok,swaps_per_layer,compute_ms,swap_ms,exposed_copy_ms,isolated_dma_ms,hidden_ms,pct_dma_hidden,vram_gb
18,0.094,0.0,783.52,16.323,2.0682,29.5271,27.4589,29.4106,1.9517,6.6,0.743
18,0.094,0.5,411.17,8.566,2.0706,15.6396,13.569,15.4401,1.871,12.1,0.743
18,0.094,0.8,172.69,3.598,2.0702,6.6374,4.5673,6.4701,1.9029,29.4,0.743
18,0.094,0.95,46.44,0.967,2.0708,2.3594,0.2887,2.1579,1.8692,86.6,0.743
18,0.094,0.99,12.35,0.257,2.0774,2.2672,0.1897,0.5656,0.3759,66.5,0.743
24,0.125,0.0,756.7,15.765,2.086,34.9806,32.8946,34.5749,1.6803,4.9,0.991
24,0.125,0.5,397.5,8.281,2.0863,15.2193,13.1329,15.0286,1.8956,12.6,0.991
24,0.125,0.8,166.91,3.477,2.0835,7.9691,5.8855,7.7635,1.8779,24.2,0.991
24,0.125,0.95,44.95,0.936,2.0864,2.3559,0.2695,2.0879,1.8183,87.1,0.991
24,0.125,0.99,11.93,0.249,2.0644,2.255,0.1906,0.5542,0.3636,65.6,0.991
32,0.167,0.0,721.13,15.024,2.069,28.1107,26.0417,28.1313,2.0897,7.4,1.321
32,0.167,0.5,378.69,7.889,2.0859,17.7711,15.6852,17.403,1.7179,9.9,1.321
32,0.167,0.8,159.21,3.317,2.0827,7.4552,5.3724,7.2666,1.8942,26.1,1.321
32,0.167,0.95,42.7,0.89,2.0688,2.2832,0.2144,1.6347,1.4203,86.9,1.321
32,0.167,0.99,11.45,0.239,2.0694,2.2134,0.1439,0.4253,0.2814,66.2,1.321
48,0.25,0.0,648.58,13.512,2.0689,24.3722,22.3033,24.2028,1.8995,7.8,1.982
48,0.25,0.5,340.57,7.095,2.069,12.8945,10.8256,12.7114,1.8858,14.8,1.982
48,0.25,0.8,143.08,2.981,2.0685,5.4758,3.4074,5.3679,1.9605,36.5,1.982
48,0.25,0.95,38.56,0.803,2.0706,2.2574,0.1868,1.4382,1.2514,87.0,1.982
48,0.25,0.99,10.35,0.216,2.0694,2.1963,0.1269,0.3832,0.2563,66.9,1.982
64,0.333,0.0,575.99,12.0,2.069,21.6541,19.5851,21.5225,1.9374,9.0,2.642
64,0.333,0.5,302.2,6.296,2.0691,11.4294,9.3603,11.2697,1.9094,16.9,2.642
64,0.333,0.8,127.62,2.659,2.0693,4.896,2.8267,4.7645,1.9378,40.7,2.642
64,0.333,0.95,34.19,0.712,2.0691,2.2515,0.1824,1.2743,1.0919,85.7,2.642
64,0.333,0.99,9.25,0.193,2.0694,2.1927,0.1233,0.3431,0.2198,64.1,2.642
96,0.5,0.0,432.24,9.005,2.0693,16.5215,14.4522,16.33,1.8778,11.5,3.964
96,0.5,0.5,226.54,4.72,2.0756,10.6004,8.5248,10.3682,1.8434,17.8,3.964
96,0.5,0.8,95.73,1.994,2.0757,4.5293,2.4535,4.3747,1.9212,43.9,3.964
96,0.5,0.95,25.64,0.534,2.0769,2.2024,0.1255,1.0016,0.8761,87.5,3.964
96,0.5,0.99,6.95,0.145,2.0759,2.2213,0.1453,0.3173,0.172,54.2,3.964
192,1.0,0.0,0.0,0.0,2.0813,2.072,-0.0093,0.0001,0.0094,9400.0,7.927
192,1.0,0.5,0.0,0.0,2.0767,2.0774,0.0007,0.0001,-0.0006,-600.0,7.927
192,1.0,0.8,0.0,0.0,2.0763,2.0805,0.0042,0.0001,-0.0041,-4100.0,7.927
192,1.0,0.95,0.0,0.0,2.0768,2.0647,-0.0122,0.0001,0.0123,12300.0,7.927
192,1.0,0.99,0.0,0.0,2.0757,2.0797,0.004,0.0001,-0.0039,-3900.0,7.927
