cell,layer,expert,residency_share,selectivity_PRfrac,gate_when_selected,dist_to_centroid
L0_s1,2,0,0.11915,0.82954,0.0071,0.90015
L0_s1,2,1,0.05444,0.44607,0.01083,0.92246
L0_s1,2,2,0.06248,0.86565,0.00667,0.8589
L0_s1,2,3,0.04693,0.10874,0.02867,0.86835
L0_s1,2,4,0.09019,0.30649,0.01196,0.84067
L0_s1,2,5,0.12856,0.73564,0.0084,0.89242
L0_s1,2,6,0.05228,0.94909,0.00705,0.91218
L0_s1,2,7,0.09489,0.95648,0.00715,0.85099
L0_s1,2,8,0.03386,0.14737,0.02244,0.87705
L0_s1,2,9,0.06728,0.95296,0.00722,0.85812
L0_s1,2,10,0.09328,0.72502,0.00849,0.88419
L0_s1,2,11,0.07365,0.08538,0.02738,0.88648
L0_s1,2,12,0.12256,0.63824,0.00884,0.87203
L0_s1,2,13,0.04093,0.94991,0.00683,0.86596
L0_s1,2,14,0.1044,0.959,0.00734,0.9012
L0_s1,2,15,0.08241,0.12807,0.01848,0.85828
L0_s1,2,16,0.09591,0.56697,0.00747,0.87663
L0_s1,2,17,0.09023,0.84775,0.00707,0.92039
L0_s1,2,18,0.07838,0.6366,0.00773,0.89236
L0_s1,2,19,0.09119,0.89032,0.00637,0.88603
L0_s1,2,20,0.07436,0.95887,0.00742,0.86074
L0_s1,2,21,0.10828,0.67517,0.00831,0.905
L0_s1,2,22,0.07226,0.95958,0.00726,0.87302
L0_s1,2,23,0.0935,0.18924,0.01683,0.8746
L0_s1,2,24,0.12691,0.8879,0.00649,0.85137
L0_s1,2,25,0.04973,0.95547,0.00692,0.91983
L0_s1,2,26,0.06081,0.16922,0.01862,0.87153
L0_s1,2,27,0.08871,0.74184,0.0073,0.88689
L0_s1,2,28,0.10474,0.89889,0.00746,0.84246
L0_s1,2,29,0.08722,0.66229,0.00734,0.87143
L0_s1,2,30,0.12919,0.85382,0.00654,0.83827
L0_s1,2,31,0.16301,0.91212,0.00723,0.86635
L0_s1,2,32,0.08987,0.62949,0.00865,0.8707
L0_s1,2,33,0.09971,0.26176,0.01341,0.85873
L0_s1,2,34,0.10816,0.75923,0.00766,0.86884
L0_s1,2,35,0.07228,0.10535,0.02625,0.85963
L0_s1,2,36,0.06696,0.94581,0.00728,0.85203
L0_s1,2,37,0.10362,0.79228,0.00693,0.89587
L0_s1,2,38,0.1169,0.81859,0.00742,0.84134
L0_s1,2,39,0.07147,0.49677,0.00956,0.86982
L0_s1,2,40,0.12643,0.88298,0.00702,0.89231
L0_s1,2,41,0.09808,0.12946,0.01907,0.89279
L0_s1,2,42,0.13499,0.96283,0.00744,0.86941
L0_s1,2,43,0.0909,0.94763,0.00712,0.86426
L0_s1,2,44,0.08688,0.76631,0.00843,0.85888
L0_s1,2,45,0.06853,0.48912,0.01002,0.84789
L0_s1,2,46,0.06935,0.84907,0.00684,0.8752
L0_s1,2,47,0.11024,0.47514,0.00955,0.87019
L0_s1,2,48,0.12492,0.66185,0.00838,0.91869
L0_s1,2,49,0.10193,0.64605,0.00817,0.8996
L0_s1,2,50,0.13237,0.64958,0.00806,0.86232
L0_s1,2,51,0.10398,0.55852,0.00862,0.89227
L0_s1,2,52,0.13674,0.94593,0.00701,0.86058
L0_s1,2,53,0.09622,0.17905,0.01562,0.86199
L0_s1,2,54,0.10223,0.49701,0.00958,0.88332
L0_s1,2,55,0.12194,0.21289,0.01456,0.87881
L0_s1,2,56,0.09017,0.1398,0.02059,0.88308
L0_s1,2,57,0.05347,0.2061,0.01503,0.82682
L0_s1,2,58,0.12086,0.82975,0.00685,0.85821
L0_s1,2,59,0.09371,0.1164,0.02206,0.89162
L0_s1,2,60,0.14613,0.89016,0.00652,0.83477
L0_s1,2,61,0.14001,0.73707,0.00647,0.89211
L0_s1,2,62,0.11083,0.35961,0.01077,0.85028
L0_s1,2,63,0.03114,0.06259,0.04316,0.89934
L0_s1,2,64,0.10144,0.52349,0.00806,0.87658
L0_s1,2,65,0.08223,0.51695,0.00966,0.86275
L0_s1,2,66,0.09245,0.9482,0.00697,0.88718
L0_s1,2,67,0.0818,0.59367,0.00951,0.85387
L0_s1,2,68,0.06643,0.95026,0.00748,0.87022
L0_s1,2,69,0.07882,0.96174,0.0072,0.85929
L0_s1,2,70,0.07208,0.26851,0.01343,0.84557
L0_s1,2,71,0.08636,0.56081,0.01,0.9309
L0_s1,2,72,0.08323,0.24433,0.01647,0.9197
L0_s1,2,73,0.10584,0.85186,0.00697,0.92018
L0_s1,2,74,0.09621,0.17699,0.01574,0.88232
L0_s1,2,75,0.07079,0.72815,0.00807,0.90032
L0_s1,2,76,0.12934,0.59804,0.00729,0.90752
L0_s1,2,77,0.07522,0.46082,0.00942,0.87394
L0_s1,2,78,0.09525,0.26668,0.01119,0.89355
L0_s1,2,79,0.07755,0.12808,0.0206,0.87304
L0_s1,2,80,0.07619,0.12631,0.02463,0.89637
L0_s1,2,81,0.08385,0.1211,0.02758,0.86203
L0_s1,2,82,0.07684,0.39038,0.00956,0.87351
L0_s1,2,83,0.10368,0.57336,0.0083,0.87137
L0_s1,2,84,0.0766,0.13781,0.02541,0.87976
L0_s1,2,85,0.1355,0.94313,0.00657,0.92619
L0_s1,2,86,0.08136,0.36227,0.01274,0.8781
L0_s1,2,87,0.06207,0.93223,0.00664,0.8558
L0_s1,2,88,0.08898,0.15165,0.01801,0.89288
L0_s1,2,89,0.08837,0.96574,0.0069,0.89892
L0_s1,2,90,0.08544,0.77077,0.00808,0.88741
L0_s1,2,91,0.13235,0.36831,0.01127,0.88022
L0_s1,2,92,0.07487,0.9582,0.00716,0.86341
L0_s1,2,93,0.12946,0.68126,0.00953,0.86485
L0_s1,2,94,0.05191,0.12608,0.02206,0.85049
L0_s1,2,95,0.11092,0.85139,0.00737,0.8487
L0_s1,2,96,0.08824,0.31857,0.01043,0.86549
L0_s1,2,97,0.12556,0.24652,0.01223,0.8694
L0_s1,2,98,0.07908,0.45576,0.00923,0.89919
L0_s1,2,99,0.10606,0.5198,0.00926,0.85399
L0_s1,2,100,0.06312,0.7477,0.00837,0.96113
L0_s1,2,101,0.14784,0.74534,0.00816,0.90357
L0_s1,2,102,0.08997,0.44117,0.01065,0.89843
L0_s1,2,103,0.10203,0.44406,0.00957,0.8649
L0_s1,2,104,0.10856,0.65695,0.00754,0.88557
L0_s1,2,105,0.02505,0.09737,0.02871,0.90282
L0_s1,2,106,0.09692,0.36371,0.01012,0.89845
L0_s1,2,107,0.08508,0.41225,0.00912,0.87993
L0_s1,2,108,0.1033,0.53641,0.00894,0.8831
L0_s1,2,109,0.09975,0.94064,0.00651,0.922
L0_s1,2,110,0.04509,0.10642,0.02281,0.88704
L0_s1,2,111,0.12632,0.95784,0.00711,0.89446
L0_s1,2,112,0.12592,0.58319,0.00862,0.92294
L0_s1,2,113,0.12747,0.52427,0.00922,0.89496
L0_s1,2,114,0.10117,0.60565,0.00795,0.94477
L0_s1,2,115,0.04955,0.14736,0.01883,0.92699
L0_s1,2,116,0.12103,0.43566,0.00932,0.8397
L0_s1,2,117,0.1176,0.67562,0.00622,0.87704
L0_s1,2,118,0.09085,0.60451,0.01071,0.85442
L0_s1,2,119,0.10287,0.64689,0.00809,0.86769
