run,gamma_m,beta_m,swaprate,setcov,masscov
tmoe_minlogit_sh1_s2_1e17,0.125,0.5,0.9905410356619443,0.3919404447078705,0.43131741881370544
tmoe_minlogit_sh1_s2_1e17,0.125,1.0,0.9754946262823644,0.39298057556152344,0.43264561891555786
tmoe_minlogit_sh1_s2_1e17,0.125,2.0,0.9254885197850513,0.38949376344680786,0.4288473129272461
tmoe_minlogit_sh1_s2_1e17,0.0625,0.5,0.992000488519785,0.39470261335372925,0.4335777759552002
tmoe_minlogit_sh1_s2_1e17,0.0625,1.0,0.9805874450415242,0.39701393246650696,0.43618708848953247
tmoe_minlogit_sh1_s2_1e17,0.0625,2.0,0.9431485100146556,0.3935169577598572,0.43261685967445374
tmoe_minlogit_sh1_s2_1e17,0.03125,0.5,0.993295065950171,0.395852655172348,0.4341978430747986
tmoe_minlogit_sh1_s2_1e17,0.03125,1.0,0.9848070346849047,0.3985181450843811,0.43688830733299255
tmoe_minlogit_sh1_s2_1e17,0.03125,2.0,0.95730947728383,0.3955565094947815,0.4341222643852234
g3_tmoe_s1_1e17,0.125,0.5,0.9999771006350757,0.35434773564338684,0.4057619273662567
g3_tmoe_s1_1e17,0.125,1.0,0.9998626038104543,0.35631412267684937,0.4085986018180847
g3_tmoe_s1_1e17,0.125,2.0,0.9989924279433318,0.358489990234375,0.410031795501709
g3_tmoe_s1_1e17,0.0625,0.5,0.9999847337567171,0.3569799065589905,0.408366858959198
g3_tmoe_s1_1e17,0.0625,1.0,0.9998778700537372,0.35906755924224854,0.4116949439048767
g3_tmoe_s1_1e17,0.0625,2.0,0.9991985222276503,0.36157122254371643,0.414109468460083
g3_tmoe_s1_1e17,0.03125,0.5,1.0,0.3589721620082855,0.4090914726257324
g3_tmoe_s1_1e17,0.03125,1.0,0.9999313019052272,0.36085033416748047,0.4129538834095001
g3_tmoe_s1_1e17,0.03125,2.0,0.9993969833903273,0.3627607226371765,0.4151431918144226
flame38m_temporal_minlogit,0.125,0.5,0.9948705422569614,0.3118206560611725,0.3567829728126526
flame38m_temporal_minlogit,0.125,1.0,0.9829170737664876,0.31202802062034607,0.35863444209098816
flame38m_temporal_minlogit,0.125,2.0,0.9413089276990718,0.30991870164871216,0.3580552339553833
flame38m_temporal_minlogit,0.0625,0.5,0.9962903028822667,0.3145202398300171,0.35927966237068176
flame38m_temporal_minlogit,0.0625,1.0,0.9878328041035662,0.31512579321861267,0.3626498579978943
flame38m_temporal_minlogit,0.0625,2.0,0.9567507327796776,0.31249743700027466,0.36243534088134766
flame38m_temporal_minlogit,0.03125,0.5,0.997191011235955,0.3167757987976074,0.360986590385437
flame38m_temporal_minlogit,0.03125,1.0,0.9917104298974109,0.3176230788230896,0.3649488091468811
flame38m_temporal_minlogit,0.03125,2.0,0.9697881045432339,0.31432050466537476,0.36494773626327515
